x1,x2
Close,INCOME_STATEMENT_interestAndDebtExpense
Close,CASH_FLOW_changeInOperatingAssets
Close,CASH_FLOW_proceedsFromRepaymentsOfShortTermDebt
INCOME_STATEMENT_grossProfit,INCOME_STATEMENT_investmentIncomeNet
INCOME_STATEMENT_grossProfit,BALANCE_SHEET_longTermInvestments
INCOME_STATEMENT_grossProfit,CASH_FLOW_capitalExpenditures
INCOME_STATEMENT_grossProfit,UNRATE
INCOME_STATEMENT_totalRevenue,INCOME_STATEMENT_otherNonOperatingIncome
INCOME_STATEMENT_totalRevenue,INCOME_STATEMENT_depreciation
INCOME_STATEMENT_totalRevenue,INCOME_STATEMENT_comprehensiveIncomeNetOfTax
INCOME_STATEMENT_totalRevenue,BALANCE_SHEET_shortTermInvestments
INCOME_STATEMENT_investmentIncomeNet,INCOME_STATEMENT_grossProfit
INCOME_STATEMENT_investmentIncomeNet,INCOME_STATEMENT_depreciationAndAmortization
INCOME_STATEMENT_investmentIncomeNet,INCOME_STATEMENT_interestAndDebtExpense
INCOME_STATEMENT_investmentIncomeNet,BALANCE_SHEET_currentDebt
INCOME_STATEMENT_netInterestIncome,INCOME_STATEMENT_interestExpense
INCOME_STATEMENT_netInterestIncome,BALANCE_SHEET_longTermInvestments
INCOME_STATEMENT_interestIncome,INCOME_STATEMENT_depreciation
INCOME_STATEMENT_interestIncome,CASH_FLOW_operatingCashflow
INCOME_STATEMENT_interestIncome,CASH_FLOW_changeInInventory
INCOME_STATEMENT_interestExpense,INCOME_STATEMENT_netInterestIncome
INCOME_STATEMENT_interestExpense,INCOME_STATEMENT_otherNonOperatingIncome
INCOME_STATEMENT_interestExpense,INCOME_STATEMENT_interestAndDebtExpense
INCOME_STATEMENT_interestExpense,BALANCE_SHEET_longTermInvestments
INCOME_STATEMENT_otherNonOperatingIncome,INCOME_STATEMENT_totalRevenue
INCOME_STATEMENT_otherNonOperatingIncome,INCOME_STATEMENT_interestExpense
INCOME_STATEMENT_otherNonOperatingIncome,INCOME_STATEMENT_depreciationAndAmortization
INCOME_STATEMENT_otherNonOperatingIncome,CASH_FLOW_cashflowFromInvestment
INCOME_STATEMENT_otherNonOperatingIncome,CASH_FLOW_cashflowFromFinancing
INCOME_STATEMENT_depreciation,INCOME_STATEMENT_totalRevenue
INCOME_STATEMENT_depreciation,INCOME_STATEMENT_interestIncome
INCOME_STATEMENT_depreciation,BALANCE_SHEET_goodwill
INCOME_STATEMENT_depreciationAndAmortization,INCOME_STATEMENT_investmentIncomeNet
INCOME_STATEMENT_depreciationAndAmortization,INCOME_STATEMENT_otherNonOperatingIncome
INCOME_STATEMENT_depreciationAndAmortization,BALANCE_SHEET_longTermInvestments
INCOME_STATEMENT_depreciationAndAmortization,UNRATE
INCOME_STATEMENT_interestAndDebtExpense,Close
INCOME_STATEMENT_interestAndDebtExpense,INCOME_STATEMENT_investmentIncomeNet
INCOME_STATEMENT_interestAndDebtExpense,INCOME_STATEMENT_interestExpense
INCOME_STATEMENT_interestAndDebtExpense,CASH_FLOW_paymentsForRepurchaseOfCommonStock
INCOME_STATEMENT_comprehensiveIncomeNetOfTax,INCOME_STATEMENT_totalRevenue
INCOME_STATEMENT_comprehensiveIncomeNetOfTax,CASH_FLOW_profitLoss
INCOME_STATEMENT_comprehensiveIncomeNetOfTax,CASH_FLOW_paymentsForRepurchaseOfCommonStock
BALANCE_SHEET_goodwill,INCOME_STATEMENT_depreciation
BALANCE_SHEET_goodwill,BALANCE_SHEET_longTermInvestments
BALANCE_SHEET_goodwill,CASH_FLOW_changeInInventory
BALANCE_SHEET_longTermInvestments,INCOME_STATEMENT_grossProfit
BALANCE_SHEET_longTermInvestments,INCOME_STATEMENT_netInterestIncome
BALANCE_SHEET_longTermInvestments,INCOME_STATEMENT_interestExpense
BALANCE_SHEET_longTermInvestments,INCOME_STATEMENT_depreciationAndAmortization
BALANCE_SHEET_longTermInvestments,BALANCE_SHEET_goodwill
BALANCE_SHEET_longTermInvestments,BALANCE_SHEET_shortTermInvestments
BALANCE_SHEET_shortTermInvestments,INCOME_STATEMENT_totalRevenue
BALANCE_SHEET_shortTermInvestments,BALANCE_SHEET_longTermInvestments
BALANCE_SHEET_shortTermInvestments,CASH_FLOW_paymentsForOperatingActivities
BALANCE_SHEET_shortTermInvestments,CASH_FLOW_changeInOperatingAssets
BALANCE_SHEET_shortTermInvestments,CASH_FLOW_cashflowFromFinancing
BALANCE_SHEET_shortTermInvestments,CASH_FLOW_proceedsFromRepaymentsOfShortTermDebt
BALANCE_SHEET_shortTermInvestments,CASH_FLOW_paymentsForRepurchaseOfCommonStock
BALANCE_SHEET_currentDebt,INCOME_STATEMENT_investmentIncomeNet
BALANCE_SHEET_currentDebt,CASH_FLOW_changeInReceivables
BALANCE_SHEET_totalNonCurrentLiabilities,CASH_FLOW_operatingCashflow
BALANCE_SHEET_totalNonCurrentLiabilities,CASH_FLOW_paymentsForOperatingActivities
CASH_FLOW_operatingCashflow,INCOME_STATEMENT_interestIncome
CASH_FLOW_operatingCashflow,BALANCE_SHEET_totalNonCurrentLiabilities
CASH_FLOW_operatingCashflow,CASH_FLOW_changeInInventory
CASH_FLOW_operatingCashflow,CASH_FLOW_proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet
CASH_FLOW_paymentsForOperatingActivities,BALANCE_SHEET_shortTermInvestments
CASH_FLOW_paymentsForOperatingActivities,BALANCE_SHEET_totalNonCurrentLiabilities
CASH_FLOW_paymentsForOperatingActivities,CASH_FLOW_depreciationDepletionAndAmortization
CASH_FLOW_paymentsForOperatingActivities,CASH_FLOW_changeInReceivables
CASH_FLOW_changeInOperatingAssets,Close
CASH_FLOW_changeInOperatingAssets,BALANCE_SHEET_shortTermInvestments
CASH_FLOW_changeInOperatingAssets,CASH_FLOW_depreciationDepletionAndAmortization
CASH_FLOW_changeInOperatingAssets,CASH_FLOW_changeInReceivables
CASH_FLOW_depreciationDepletionAndAmortization,CASH_FLOW_paymentsForOperatingActivities
CASH_FLOW_depreciationDepletionAndAmortization,CASH_FLOW_changeInOperatingAssets
CASH_FLOW_depreciationDepletionAndAmortization,CASH_FLOW_changeInInventory
CASH_FLOW_capitalExpenditures,INCOME_STATEMENT_grossProfit
CASH_FLOW_capitalExpenditures,CASH_FLOW_changeInInventory
CASH_FLOW_capitalExpenditures,CASH_FLOW_cashflowFromInvestment
CASH_FLOW_capitalExpenditures,CASH_FLOW_paymentsForRepurchaseOfCommonStock
CASH_FLOW_changeInReceivables,BALANCE_SHEET_currentDebt
CASH_FLOW_changeInReceivables,CASH_FLOW_paymentsForOperatingActivities
CASH_FLOW_changeInReceivables,CASH_FLOW_changeInOperatingAssets
CASH_FLOW_changeInReceivables,CASH_FLOW_cashflowFromFinancing
CASH_FLOW_changeInReceivables,CASH_FLOW_proceedsFromRepaymentsOfShortTermDebt
CASH_FLOW_changeInInventory,INCOME_STATEMENT_interestIncome
CASH_FLOW_changeInInventory,BALANCE_SHEET_goodwill
CASH_FLOW_changeInInventory,CASH_FLOW_operatingCashflow
CASH_FLOW_changeInInventory,CASH_FLOW_depreciationDepletionAndAmortization
CASH_FLOW_changeInInventory,CASH_FLOW_capitalExpenditures
CASH_FLOW_profitLoss,INCOME_STATEMENT_comprehensiveIncomeNetOfTax
CASH_FLOW_cashflowFromInvestment,INCOME_STATEMENT_otherNonOperatingIncome
CASH_FLOW_cashflowFromInvestment,CASH_FLOW_capitalExpenditures
CASH_FLOW_cashflowFromFinancing,INCOME_STATEMENT_otherNonOperatingIncome
CASH_FLOW_cashflowFromFinancing,BALANCE_SHEET_shortTermInvestments
CASH_FLOW_cashflowFromFinancing,CASH_FLOW_changeInReceivables
CASH_FLOW_cashflowFromFinancing,CASH_FLOW_paymentsForRepurchaseOfCommonStock
CASH_FLOW_proceedsFromRepaymentsOfShortTermDebt,Close
CASH_FLOW_proceedsFromRepaymentsOfShortTermDebt,BALANCE_SHEET_shortTermInvestments
CASH_FLOW_proceedsFromRepaymentsOfShortTermDebt,CASH_FLOW_changeInReceivables
CASH_FLOW_proceedsFromRepaymentsOfShortTermDebt,CASH_FLOW_proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet
CASH_FLOW_paymentsForRepurchaseOfCommonStock,INCOME_STATEMENT_interestAndDebtExpense
CASH_FLOW_paymentsForRepurchaseOfCommonStock,INCOME_STATEMENT_comprehensiveIncomeNetOfTax
CASH_FLOW_paymentsForRepurchaseOfCommonStock,BALANCE_SHEET_shortTermInvestments
CASH_FLOW_paymentsForRepurchaseOfCommonStock,CASH_FLOW_capitalExpenditures
CASH_FLOW_paymentsForRepurchaseOfCommonStock,CASH_FLOW_cashflowFromFinancing
CASH_FLOW_proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,CASH_FLOW_operatingCashflow
CASH_FLOW_proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,CASH_FLOW_proceedsFromRepaymentsOfShortTermDebt
UNRATE,INCOME_STATEMENT_grossProfit
UNRATE,INCOME_STATEMENT_depreciationAndAmortization
