x1,x2
Close,BALANCE_SHEET_otherCurrentAssets
Close,CASH_FLOW_changeInOperatingAssets
INCOME_STATEMENT_grossProfit,BALANCE_SHEET_currentDebt
INCOME_STATEMENT_grossProfit,CASH_FLOW_cashflowFromFinancing
INCOME_STATEMENT_costOfRevenue,CASH_FLOW_capitalExpenditures
INCOME_STATEMENT_costOfRevenue,CASH_FLOW_cashflowFromInvestment
INCOME_STATEMENT_operatingIncome,INCOME_STATEMENT_researchAndDevelopment
INCOME_STATEMENT_operatingIncome,INCOME_STATEMENT_incomeBeforeTax
INCOME_STATEMENT_operatingIncome,CASH_FLOW_operatingCashflow
INCOME_STATEMENT_researchAndDevelopment,INCOME_STATEMENT_operatingIncome
INCOME_STATEMENT_researchAndDevelopment,BALANCE_SHEET_currentDebt
INCOME_STATEMENT_researchAndDevelopment,CASH_FLOW_changeInOperatingLiabilities
INCOME_STATEMENT_incomeBeforeTax,INCOME_STATEMENT_operatingIncome
INCOME_STATEMENT_incomeBeforeTax,INCOME_STATEMENT_netIncomeFromContinuingOperations
INCOME_STATEMENT_incomeBeforeTax,CASH_FLOW_changeInOperatingAssets
INCOME_STATEMENT_incomeBeforeTax,CASH_FLOW_cashflowFromInvestment
INCOME_STATEMENT_incomeBeforeTax,CASH_FLOW_cashflowFromFinancing
INCOME_STATEMENT_netIncomeFromContinuingOperations,INCOME_STATEMENT_incomeBeforeTax
INCOME_STATEMENT_netIncomeFromContinuingOperations,BALANCE_SHEET_currentDebt
BALANCE_SHEET_totalCurrentAssets,CASH_FLOW_changeInOperatingLiabilities
BALANCE_SHEET_totalCurrentAssets,CASH_FLOW_paymentsForRepurchaseOfCommonStock
BALANCE_SHEET_totalCurrentAssets,UNRATE
BALANCE_SHEET_otherCurrentAssets,Close
BALANCE_SHEET_otherCurrentAssets,BALANCE_SHEET_currentDebt
BALANCE_SHEET_otherCurrentAssets,CASH_FLOW_operatingCashflow
BALANCE_SHEET_otherCurrentAssets,CASH_FLOW_changeInOperatingAssets
BALANCE_SHEET_otherCurrentAssets,UNRATE
BALANCE_SHEET_currentDebt,INCOME_STATEMENT_grossProfit
BALANCE_SHEET_currentDebt,INCOME_STATEMENT_researchAndDevelopment
BALANCE_SHEET_currentDebt,INCOME_STATEMENT_netIncomeFromContinuingOperations
BALANCE_SHEET_currentDebt,BALANCE_SHEET_otherCurrentAssets
BALANCE_SHEET_currentDebt,CASH_FLOW_cashflowFromInvestment
BALANCE_SHEET_otherNonCurrentLiabilities,CASH_FLOW_changeInOperatingAssets
BALANCE_SHEET_otherNonCurrentLiabilities,CASH_FLOW_capitalExpenditures
BALANCE_SHEET_otherNonCurrentLiabilities,UNRATE
CASH_FLOW_operatingCashflow,INCOME_STATEMENT_operatingIncome
CASH_FLOW_operatingCashflow,BALANCE_SHEET_otherCurrentAssets
CASH_FLOW_operatingCashflow,CASH_FLOW_changeInOperatingLiabilities
CASH_FLOW_operatingCashflow,CASH_FLOW_cashflowFromFinancing
CASH_FLOW_changeInOperatingLiabilities,INCOME_STATEMENT_researchAndDevelopment
CASH_FLOW_changeInOperatingLiabilities,BALANCE_SHEET_totalCurrentAssets
CASH_FLOW_changeInOperatingLiabilities,CASH_FLOW_operatingCashflow
CASH_FLOW_changeInOperatingLiabilities,CASH_FLOW_changeInOperatingAssets
CASH_FLOW_changeInOperatingLiabilities,CASH_FLOW_cashflowFromInvestment
CASH_FLOW_changeInOperatingAssets,Close
CASH_FLOW_changeInOperatingAssets,INCOME_STATEMENT_incomeBeforeTax
CASH_FLOW_changeInOperatingAssets,BALANCE_SHEET_otherCurrentAssets
CASH_FLOW_changeInOperatingAssets,BALANCE_SHEET_otherNonCurrentLiabilities
CASH_FLOW_changeInOperatingAssets,CASH_FLOW_changeInOperatingLiabilities
CASH_FLOW_capitalExpenditures,INCOME_STATEMENT_costOfRevenue
CASH_FLOW_capitalExpenditures,BALANCE_SHEET_otherNonCurrentLiabilities
CASH_FLOW_capitalExpenditures,CASH_FLOW_cashflowFromFinancing
CASH_FLOW_cashflowFromInvestment,INCOME_STATEMENT_costOfRevenue
CASH_FLOW_cashflowFromInvestment,INCOME_STATEMENT_incomeBeforeTax
CASH_FLOW_cashflowFromInvestment,BALANCE_SHEET_currentDebt
CASH_FLOW_cashflowFromInvestment,CASH_FLOW_changeInOperatingLiabilities
CASH_FLOW_cashflowFromFinancing,INCOME_STATEMENT_grossProfit
CASH_FLOW_cashflowFromFinancing,INCOME_STATEMENT_incomeBeforeTax
CASH_FLOW_cashflowFromFinancing,CASH_FLOW_operatingCashflow
CASH_FLOW_cashflowFromFinancing,CASH_FLOW_capitalExpenditures
CASH_FLOW_paymentsForRepurchaseOfCommonStock,BALANCE_SHEET_totalCurrentAssets
UNRATE,BALANCE_SHEET_totalCurrentAssets
UNRATE,BALANCE_SHEET_otherCurrentAssets
UNRATE,BALANCE_SHEET_otherNonCurrentLiabilities
