Ticker,fiscalDateEnding,INCOME_STATEMENT_reportedCurrency,INCOME_STATEMENT_grossProfit,INCOME_STATEMENT_totalRevenue,INCOME_STATEMENT_costOfRevenue,INCOME_STATEMENT_costofGoodsAndServicesSold,INCOME_STATEMENT_operatingIncome,INCOME_STATEMENT_sellingGeneralAndAdministrative,INCOME_STATEMENT_researchAndDevelopment,INCOME_STATEMENT_operatingExpenses,INCOME_STATEMENT_investmentIncomeNet,INCOME_STATEMENT_netInterestIncome,INCOME_STATEMENT_interestIncome,INCOME_STATEMENT_interestExpense,INCOME_STATEMENT_nonInterestIncome,INCOME_STATEMENT_otherNonOperatingIncome,INCOME_STATEMENT_depreciation,INCOME_STATEMENT_depreciationAndAmortization,INCOME_STATEMENT_incomeBeforeTax,INCOME_STATEMENT_incomeTaxExpense,INCOME_STATEMENT_interestAndDebtExpense,INCOME_STATEMENT_netIncomeFromContinuingOperations,INCOME_STATEMENT_comprehensiveIncomeNetOfTax,INCOME_STATEMENT_ebit,INCOME_STATEMENT_ebitda,INCOME_STATEMENT_netIncome,BALANCE_SHEET_reportedCurrency,BALANCE_SHEET_totalAssets,BALANCE_SHEET_totalCurrentAssets,BALANCE_SHEET_cashAndCashEquivalentsAtCarryingValue,BALANCE_SHEET_cashAndShortTermInvestments,BALANCE_SHEET_inventory,BALANCE_SHEET_currentNetReceivables,BALANCE_SHEET_totalNonCurrentAssets,BALANCE_SHEET_propertyPlantEquipment,BALANCE_SHEET_accumulatedDepreciationAmortizationPPE,BALANCE_SHEET_intangibleAssets,BALANCE_SHEET_intangibleAssetsExcludingGoodwill,BALANCE_SHEET_goodwill,BALANCE_SHEET_investments,BALANCE_SHEET_longTermInvestments,BALANCE_SHEET_shortTermInvestments,BALANCE_SHEET_otherCurrentAssets,BALANCE_SHEET_otherNonCurrentAssets,BALANCE_SHEET_totalLiabilities,BALANCE_SHEET_totalCurrentLiabilities,BALANCE_SHEET_currentAccountsPayable,BALANCE_SHEET_deferredRevenue,BALANCE_SHEET_currentDebt,BALANCE_SHEET_shortTermDebt,BALANCE_SHEET_totalNonCurrentLiabilities,BALANCE_SHEET_capitalLeaseObligations,BALANCE_SHEET_longTermDebt,BALANCE_SHEET_currentLongTermDebt,BALANCE_SHEET_longTermDebtNoncurrent,BALANCE_SHEET_shortLongTermDebtTotal,BALANCE_SHEET_otherCurrentLiabilities,BALANCE_SHEET_otherNonCurrentLiabilities,BALANCE_SHEET_totalShareholderEquity,BALANCE_SHEET_treasuryStock,BALANCE_SHEET_retainedEarnings,BALANCE_SHEET_commonStock,BALANCE_SHEET_commonStockSharesOutstanding,CASH_FLOW_reportedCurrency,CASH_FLOW_operatingCashflow,CASH_FLOW_paymentsForOperatingActivities,CASH_FLOW_proceedsFromOperatingActivities,CASH_FLOW_changeInOperatingLiabilities,CASH_FLOW_changeInOperatingAssets,CASH_FLOW_depreciationDepletionAndAmortization,CASH_FLOW_capitalExpenditures,CASH_FLOW_changeInReceivables,CASH_FLOW_changeInInventory,CASH_FLOW_profitLoss,CASH_FLOW_cashflowFromInvestment,CASH_FLOW_cashflowFromFinancing,CASH_FLOW_proceedsFromRepaymentsOfShortTermDebt,CASH_FLOW_paymentsForRepurchaseOfCommonStock,CASH_FLOW_paymentsForRepurchaseOfEquity,CASH_FLOW_paymentsForRepurchaseOfPreferredStock,CASH_FLOW_dividendPayout,CASH_FLOW_dividendPayoutCommonStock,CASH_FLOW_dividendPayoutPreferredStock,CASH_FLOW_proceedsFromIssuanceOfCommonStock,CASH_FLOW_proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,CASH_FLOW_proceedsFromIssuanceOfPreferredStock,CASH_FLOW_proceedsFromRepurchaseOfEquity,CASH_FLOW_proceedsFromSaleOfTreasuryStock,CASH_FLOW_changeInCashAndCashEquivalents,CASH_FLOW_changeInExchangeRate,CASH_FLOW_netIncome
T,2024-12-31,USD,17712000000,32298000000,14586000000,14195000000,5326000000,7389000000,None,8287000000,None,-1661000000,None,1661000000,-44000000,569000000,None,5374000000,4980000000,900000000,1661000000,2901000000,4227000000,5326000000,12343000000,4080000000,USD,394795000000,31168000000,3298000000,3298000000,2270000000,9638000000,241271000000,128871000000,None,202050000000,138618000000,63432000000,984000000,295000000,None,15962000000,17830000000,312121000000,46872000000,27433000000,8371000000,5089000000,0,227698000000,1237000000,122116000000,4910000000,None,122116000000,8950000000,23900000000,104372000000,15023000000,1871000000,7621000000,7205000000,USD,50667000000,None,None,3222000000,981000000,5374000000,6843000000,451000000,-530000000,4408000000,-5363000000,-3184000000,0,13000000,13000000,None,2037000000,2037000000,None,None,15000000,None,0,13000000,None,None,4080000000
T,2024-09-30,USD,16558000000,30213000000,13655000000,11630000000,2116000000,6958000000,None,6958000000,None,-1675000000,None,1675000000,0,717000000,None,5087000000,1111000000,1285000000,1675000000,145000000,-966000000,2116000000,8177000000,-174000000,USD,393719000000,29799000000,2586000000,2586000000,2529000000,9068000000,236095000000,127964000000,None,195822000000,132390000000,63432000000,1479000000,281000000,61000000,15616000000,19074000000,275459000000,40658000000,None,8278000000,2637000000,0,234801000000,17331000000,126375000000,2637000000,None,146343000000,2027000000,23884000000,102351000000,15087000000,-185000000,7621000000,7202000000,USD,10235000000,None,None,-143000000,558000000,5087000000,5302000000,-444000000,147000000,145000000,-5150000000,-5562000000,-2686000000,43000000,43000000,None,2038000000,2038000000,None,None,2000000,None,-41000000,2000000,None,None,-174000000
T,2024-06-30,USD,16127000000,29797000000,13670000000,11442000000,5760000000,7043000000,None,7043000000,None,-1699000000,None,1699000000,-5000000,682000000,None,5072000000,4739000000,1142000000,1699000000,3949000000,2870000000,6438000000,11909000000,3597000000,USD,398026000000,29868000000,3093000000,3093000000,1816000000,9686000000,240495000000,127772000000,None,200410000000,132556000000,67854000000,1753000000,584000000,62000000,15273000000,18810000000,276702000000,42429000000,None,8136000000,5249000000,2693000000,234273000000,17174000000,125355000000,2556000000,None,2693000000,2026000000,24082000000,105310000000,15268000000,2000000,7621000000,7196000000,USD,9093000000,None,None,-1804000000,-138000000,5072000000,4360000000,382000000,None,3949000000,-4016000000,-5478000000,262000000,2000000,2000000,None,2099000000,2099000000,None,None,2000000,None,-2000000,0,None,None,3597000000
T,2024-03-31,USD,16196000000,30028000000,13832000000,11954000000,5847000000,7021000000,None,7493000000,None,-1724000000,None,1724000000,-3000000,451000000,None,5047000000,4563000000,1118000000,1724000000,3751000000,3312000000,6287000000,11651000000,3445000000,USD,399428000000,30445000000,3520000000,3520000000,2127000000,9577000000,241215000000,127851000000,None,200558000000,132704000000,67854000000,2079000000,891000000,66000000,15221000000,19015000000,278833000000,44834000000,None,7609000000,7060000000,2430000000,233999000000,17291000000,125704000000,4630000000,None,2430000000,2088000000,23441000000,104540000000,15277000000,-1570000000,7621000000,7192000000,USD,7547000000,None,None,-3968000000,-1141000000,5047000000,3758000000,-512000000,None,3751000000,-2961000000,-7815000000,428000000,157000000,157000000,None,2034000000,2034000000,None,None,0,None,-157000000,0,None,None,3445000000
T,2023-12-31,USD,32022000000,32022000000,55963000000,13911000000,5271000000,7485000000,954000000,8549000000,None,-1726000000,None,1726000000,90000000,-946000000,None,54000000,2542000000,354000000,1726000000,2135000000,1943000000,4268000000,4322000000,2188000000,USD,407060000000,36458000000,6722000000,6722000000,2177000000,10289000000,248470000000,128489000000,None,206521000000,138667000000,67854000000,2479000000,1251000000,80000000,17270000000,19601000000,324099000000,51127000000,27309000000,7772000000,9477000000,2091000000,236518000000,1655000000,133402000000,7203000000,None,135493000000,0,23696000000,103297000000,16128000000,-5015000000,7621000000,7190000000,USD,7853000000,10061000000,None,2712000000,1790000000,4766000000,4601000000,1091000000,-3431000000,2582000000,-5874000000,-2591000000,-2436000000,4000000,4000000,None,2020000000,2020000000,None,None,371000000,None,-3000000,0,None,None,2188000000
T,2023-09-30,USD,30190000000,30350000000,160000000,12054000000,5782000000,7205000000,None,7264000000,None,-1662000000,1242000000,1662000000,-2000000,440000000,None,59000000,4649000000,1154000000,1662000000,3444000000,3735000000,6311000000,6370000000,3495000000,USD,406698000000,35620000000,7540000000,7540000000,2520000000,8962000000,242700000000,128496000000,None,200299000000,132445000000,67854000000,3023000000,1847000000,94000000,16598000000,19435000000,308139000000,51684000000,None,7616000000,11302000000,4575000000,235187000000,1663000000,126701000000,11302000000,None,4575000000,0,25591000000,103703000000,16150000000,-7203000000,7621000000,7185000000,USD,10336000000,1111000000,None,82000000,1218000000,4705000000,4647000000,169000000,482000000,3826000000,-4545000000,-7754000000,-112000000,1000000,1000000,None,2019000000,2019000000,None,None,0,0,-1000000,0,None,None,3495000000
T,2023-06-30,USD,16075000000,29917000000,13842000000,11827000000,6406000000,7009000000,None,7071000000,None,-1608000000,1228000000,1608000000,-3000000,987000000,None,62000000,5892000000,1403000000,1608000000,4437000000,4440000000,7500000000,7562000000,4489000000,USD,408453000000,36672000000,9528000000,9528000000,2348000000,9304000000,243091000000,128783000000,None,198242000000,130388000000,67854000000,3993000000,2779000000,74000000,15492000000,20396000000,312234000000,54159000000,None,7891000000,15268000000,4619000000,236249000000,1811000000,128012000000,15268000000,None,4619000000,0,25258000000,101903000000,16158000000,-10698000000,7621000000,7180000000,USD,9922000000,1219000000,None,-3031000000,-1464000000,4675000000,4270000000,-722000000,1125000000,4762000000,-5423000000,2181000000,534000000,1000000,1000000,None,2083000000,2083000000,None,None,6267000000,0,-1000000,0,6680000000,None,4489000000
T,2023-03-31,USD,16234000000,30139000000,13905000000,12331000000,6002000000,7175000000,None,7709000000,None,-1708000000,1170000000,1708000000,4000000,935000000,None,57000000,5542000000,1314000000,1708000000,4176000000,3816000000,7250000000,7307000000,4228000000,USD,400873000000,29903000000,2821000000,2821000000,2791000000,10214000000,242632000000,128458000000,None,197743000000,129848000000,67895000000,4024000000,2810000000,39000000,14077000000,20340000000,318392000000,58150000000,None,4158000000,13757000000,3258000000,234377000000,1758000000,123727000000,13757000000,None,3258000000,3922000000,27883000000,99396000000,16166000000,-15187000000,7621000000,7168000000,USD,6678000000,1166000000,None,-4079000000,-984000000,4631000000,4335000000,-620000000,3431000000,4453000000,-3818000000,-3711000000,3091000000,188000000,188000000,None,2014000000,2014000000,None,None,3366000000,0,-185000000,3000000,-851000000,None,4228000000
T,2022-12-31,USD,31343000000,31343000000,38955000000,13571000000,-21092000000,7516000000,1236000000,32925000000,None,-1560000000,1186000000,1560000000,-24000000,-919000000,None,55000000,-23594000000,-77000000,1560000000,-23536000000,-23624000000,-22034000000,-21979000000,-23517000000,USD,402853000000,33108000000,3701000000,3701000000,3123000000,11466000000,248950000000,127445000000,None,203814000000,135919000000,67895000000,4665000000,3533000000,38000000,14818000000,19612000000,337878000000,56173000000,31101000000,4170000000,7467000000,866000000,240223000000,1647000000,133207000000,6431000000,None,134073000000,130000000,28849000000,97500000000,17082000000,-19415000000,7621000000,7157000000,USD,-44212000000,9640000000,None,1444000000,169000000,4595000000,4229000000,294000000,-2152000000,-23155000000,-3823000000,-2793000000,-2087000000,15000000,15000000,None,2014000000,2014000000,None,None,2500000000,0,-13000000,0,1299000000,None,-23517000000
T,2022-09-30,USD,16025000000,30043000000,14018000000,12201000000,6012000000,7202000000,None,7257000000,None,-1420000000,1028000000,1420000000,-8000000,2270000000,None,55000000,6934000000,908000000,1420000000,5924000000,6592000000,8354000000,8409000000,6026000000,USD,426463000000,32295000000,2423000000,2423000000,3935000000,11384000000,267193000000,127045000000,None,221943000000,129218000000,92725000000,5106000000,3964000000,71000000,14553000000,19434000000,312399000000,52257000000,None,3938000000,9626000000,2161000000,234228000000,1476000000,131319000000,9897000000,None,133480000000,3705000000,29426000000,122406000000,17148000000,6127000000,7621000000,7153000000,USD,8513000000,1173000000,None,-2400000000,1081000000,4514000000,5921000000,271000000,-644000000,6399000000,-5543000000,-923000000,-724000000,3000000,3000000,None,2010000000,2010000000,None,None,0,0,-3000000,0,-545000000,None,6026000000
