Ticker,fiscalDateEnding,INCOME_STATEMENT_reportedCurrency,INCOME_STATEMENT_grossProfit,INCOME_STATEMENT_totalRevenue,INCOME_STATEMENT_costOfRevenue,INCOME_STATEMENT_costofGoodsAndServicesSold,INCOME_STATEMENT_operatingIncome,INCOME_STATEMENT_sellingGeneralAndAdministrative,INCOME_STATEMENT_researchAndDevelopment,INCOME_STATEMENT_operatingExpenses,INCOME_STATEMENT_investmentIncomeNet,INCOME_STATEMENT_netInterestIncome,INCOME_STATEMENT_interestIncome,INCOME_STATEMENT_interestExpense,INCOME_STATEMENT_nonInterestIncome,INCOME_STATEMENT_otherNonOperatingIncome,INCOME_STATEMENT_depreciation,INCOME_STATEMENT_depreciationAndAmortization,INCOME_STATEMENT_incomeBeforeTax,INCOME_STATEMENT_incomeTaxExpense,INCOME_STATEMENT_interestAndDebtExpense,INCOME_STATEMENT_netIncomeFromContinuingOperations,INCOME_STATEMENT_comprehensiveIncomeNetOfTax,INCOME_STATEMENT_ebit,INCOME_STATEMENT_ebitda,INCOME_STATEMENT_netIncome,BALANCE_SHEET_reportedCurrency,BALANCE_SHEET_totalAssets,BALANCE_SHEET_totalCurrentAssets,BALANCE_SHEET_cashAndCashEquivalentsAtCarryingValue,BALANCE_SHEET_cashAndShortTermInvestments,BALANCE_SHEET_inventory,BALANCE_SHEET_currentNetReceivables,BALANCE_SHEET_totalNonCurrentAssets,BALANCE_SHEET_propertyPlantEquipment,BALANCE_SHEET_accumulatedDepreciationAmortizationPPE,BALANCE_SHEET_intangibleAssets,BALANCE_SHEET_intangibleAssetsExcludingGoodwill,BALANCE_SHEET_goodwill,BALANCE_SHEET_investments,BALANCE_SHEET_longTermInvestments,BALANCE_SHEET_shortTermInvestments,BALANCE_SHEET_otherCurrentAssets,BALANCE_SHEET_otherNonCurrentAssets,BALANCE_SHEET_totalLiabilities,BALANCE_SHEET_totalCurrentLiabilities,BALANCE_SHEET_currentAccountsPayable,BALANCE_SHEET_deferredRevenue,BALANCE_SHEET_currentDebt,BALANCE_SHEET_shortTermDebt,BALANCE_SHEET_totalNonCurrentLiabilities,BALANCE_SHEET_capitalLeaseObligations,BALANCE_SHEET_longTermDebt,BALANCE_SHEET_currentLongTermDebt,BALANCE_SHEET_longTermDebtNoncurrent,BALANCE_SHEET_shortLongTermDebtTotal,BALANCE_SHEET_otherCurrentLiabilities,BALANCE_SHEET_otherNonCurrentLiabilities,BALANCE_SHEET_totalShareholderEquity,BALANCE_SHEET_treasuryStock,BALANCE_SHEET_retainedEarnings,BALANCE_SHEET_commonStock,BALANCE_SHEET_commonStockSharesOutstanding,CASH_FLOW_reportedCurrency,CASH_FLOW_operatingCashflow,CASH_FLOW_paymentsForOperatingActivities,CASH_FLOW_proceedsFromOperatingActivities,CASH_FLOW_changeInOperatingLiabilities,CASH_FLOW_changeInOperatingAssets,CASH_FLOW_depreciationDepletionAndAmortization,CASH_FLOW_capitalExpenditures,CASH_FLOW_changeInReceivables,CASH_FLOW_changeInInventory,CASH_FLOW_profitLoss,CASH_FLOW_cashflowFromInvestment,CASH_FLOW_cashflowFromFinancing,CASH_FLOW_proceedsFromRepaymentsOfShortTermDebt,CASH_FLOW_paymentsForRepurchaseOfCommonStock,CASH_FLOW_paymentsForRepurchaseOfEquity,CASH_FLOW_paymentsForRepurchaseOfPreferredStock,CASH_FLOW_dividendPayout,CASH_FLOW_dividendPayoutCommonStock,CASH_FLOW_dividendPayoutPreferredStock,CASH_FLOW_proceedsFromIssuanceOfCommonStock,CASH_FLOW_proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,CASH_FLOW_proceedsFromIssuanceOfPreferredStock,CASH_FLOW_proceedsFromRepurchaseOfEquity,CASH_FLOW_proceedsFromSaleOfTreasuryStock,CASH_FLOW_changeInCashAndCashEquivalents,CASH_FLOW_changeInExchangeRate,CASH_FLOW_netIncome,observation_date,GDP,Quarterly_Return,M2SL,M1SL,FEDFUNDS,PPIACO,RTWEXBGS,CPIAUCSL,UNRATE
AMGN,2024-09-30,USD,2368000000,8503000000,6135000000,3310000000,2047000000,1625000000,1450000000,4275000000,,-776000000,,776000000,8503000000.0,,,1200000000,3101000000,271000000,776000000,2830000000,2649000000,2047000000,5077000000,2830000000,USD,90883000000,26766000000,9011000000,9011000000,7362000000,7317000000,69174000000,6156000000,10300000000,47578000000,28920000000,18658000000,8576000000,5057000000.0,,3076000000,10383000000,83356000000,20312000000,2147000000,,3544000000,3544000000,63044000000,,60398000000,3544000000,56854000000,60398000000,14621000000,2199000000,7527000000,,-25530000000,33393000000,537500000,USD,3571000000,,,-189000000,-40000000,1396000000,257000000,342000000,-681000000,2830000000,-210000000,-3651000000,,0,0,,1210000000,1210000000,,,0,,0,,,,2830000000,2024-09-30,1.438721014584474,0.03123693028240404,0.7258992046451876,0.39984791203102027,1.2700636524705695,0.8543725656140209,0.8351039936157432,1.3282526735633993,-0.2446503208285047
AMGN,2024-06-30,USD,2300000000,8521000000,6221000000,3236000000,1909000000,1785000000,1447000000,4432000000,,-808000000,,808000000,8521000000.0,,,1200000000,794000000,48000000,675000000,746000000,781000000,1909000000,2802000000,746000000,USD,90907000000,27206000000,9301000000,9301000000,7995000000,6934000000,67171000000,6097000000,10100000000,48788000000,30172000000,18616000000,8812000000,3470000000.0,,2976000000,8816000000,84982000000,21517000000,2267000000,,5528000000,5528000000,63465000000,,62645000000,5528000000,57117000000,62645000000,13722000000,2363000000,5925000000,,-27124000000,33204000000,537200000,USD,2459000000,,,-175000000,-296000000,1400000000,238000000,176000000,-722000000,746000000,-217000000,-2649000000,,0,0,,1209000000,1209000000,,,0,,0,,,,746000000,2024-06-30,1.3214810689022394,0.09893783116970578,0.6561044738334443,0.3912754589941218,1.364391301906272,0.8422929444177094,1.188565304616945,1.3041565078316286,-0.38309585121982914
AMGN,2024-03-31,USD,548000000,6756000000,6208000000,3200000000,991000000,1808000000,1343000000,4351000000,,-824000000,,824000000,7580000000.0,,,1200000000,-68000000,45000000,691000000,-86000000,-14000000,991000000,1956000000,-113000000,USD,92980000000,28029000000,9708000000,9708000000,8724000000,6776000000,68936000000,6002000000,9900000000,49942000000,31372000000,18570000000,9237000000,3985000000.0,,2821000000,9007000000,87958000000,19714000000,1628000000,,3959000000,3959000000,68244000000,,64020000000,3959000000,60061000000,64020000000,14127000000,2357000000,5022000000,,-27870000000,33082000000,536400000,USD,689000000,,,-864000000,-1203000000,1399000000,230000000,-486000000,-806000000,-86000000,-217000000,-1708000000,,0,0,,1208000000,1208000000,,,0,,0,,,,-113000000,2024-03-31,1.1929671703193223,-0.01284626703210201,0.5861485542669388,0.38451702691821543,1.364391301906272,0.6425389752472279,0.7098083368056521,1.1629967878538605,-0.4753928714807119
AMGN,2023-12-31,USD,1127000000,7628000000,6501000000,3112000000,1271000000,2274000000,1534000000,5802000000,,-821000000,,821000000,8421000000.0,,,1100000000,852000000,85000000,596000000,750000000,604000000,1271000000,2773000000,767000000,USD,97154000000,30332000000,10944000000,15458000000,9518000000,7942000000,67473000000,5941000000,9800000000,51270000000,32641000000,18629000000,10404000000,4514000000.0,4514000000.0,2602000000,9611000000,90922000000,18392000000,1590000000,,1443000000,0,73221000000,,64613000000,1443000000,63170000000,64613000000,13576000000,2326000000,6232000000,,-26549000000,33070000000,535400000,USD,538000000,,,-1819000000,92000000,1380000000,249000000,433000000,-573000000,750000000,-27089000000,2754000000,,0,0,,1140000000,1140000000,,,3996000000,,0,,,,767000000,2023-12-31,1.0859056942932193,0.07166236995170228,0.5271937672129091,0.3995750062227294,1.364391301906272,0.7793943920660732,0.47275471484081805,1.0691969863416344,-0.38309585121982914
AMGN,2023-09-30,USD,2443000000,6326000000,3883000000,1806000000,2021000000,1353000000,1079000000,3156000000,,-759000000,,759000000,7085000000.0,,,693000000,1947000000,217000000,577000000,1730000000,1884000000,2021000000,3399000000,1730000000,USD,90534000000,48477000000,34700000000,34700000000,5026000000,6145000000,46307000000,5563000000,9700000000,28659000000,13150000000,15509000000,34691000000,4250000000.0,,2565000000,7835000000,82878000000,16954000000,1358000000,,1428000000,1428000000,65924000000,,60468000000,1428000000,59040000000,60468000000,14168000000,2305000000,7656000000,,-24971000000,32753000000,535100000,USD,2760000000,,,615000000,659000000,895000000,248000000,342000000,54000000,1730000000,-262000000,-2005000000,0.0,0,0,,1140000000,1140000000,,,1000000,,0,,,,1730000000,2023-09-30,0.9781346252960409,0.2105215953234818,0.5033378315082021,0.4499502077766368,1.364391301906272,0.7316041705984527,0.8632903728981444,0.9360985290814059,-0.5676898917415949
AMGN,2023-06-30,USD,2505000000,6347000000,3842000000,1813000000,2684000000,1294000000,1113000000,3142000000,,-752000000,,752000000,7099000000.0,-318000000.0,,693000000,1614000000,235000000,639000000,1379000000,1367000000,2684000000,3059000000,1379000000,USD,90269000000,47380000000,34248000000,38339000000,4978000000,5830000000,42889000000,5532000000,9500000000,30164000000,14633000000,15531000000,34006000000,,4091000000.0,2324000000,7193000000,83488000000,17097000000,1212000000,,2167000000,2167000000,66391000000,,61500000000,2167000000,59377000000,61500000000,13718000000,2536000000,6781000000,,-25540000000,32601000000,534900000,USD,4109000000,,,1022000000,-4000000,896000000,271000000,96000000,-30000000,1379000000,-211000000,-1210000000,0.0,0,0,,1139000000,1139000000,,,-18000000,,0,,2688000000.0,,1379000000,2023-06-30,0.809939489151211,-0.08161321914183506,0.5426275904813254,0.492555620435678,1.2464817401116441,0.839827715602136,0.44407455957098624,0.8591222323709973,-0.6138384018720363
AMGN,2023-03-31,USD,2004000000,5675000000,3671000000,1720000000,1921000000,1258000000,1058000000,3009000000,,-543000000,,543000000,6218000000.0,2064000000.0,,693000000,3442000000,601000000,430000000,2872000000,2804000000,1921000000,4678000000,2841000000,USD,88720000000,44703000000,31600000000,36434000000,5011000000,5736000000,44017000000,5460000000,9400000000,30924000000,15393000000,15531000000,31448000000,,4834000000.0,2395000000,7633000000,83372000000,14215000000,1320000000,,834000000,834000000,69157000000,,61595000000,834000000,60761000000,61595000000,12061000000,2532000000,5348000000,,-26919000000,32535000000,534300000,USD,1064000000,,,-520000000,341000000,900000000,344000000,144000000,58000000,2872000000,1358000000,21509000000,0.0,0,0,,1137000000,1137000000,,,23798000000,,0,,23931000000.0,,2841000000,2023-03-31,0.7151996630278257,-0.07953858316829532,0.5737370201503013,0.6379502031232946,1.0436772938248848,0.9567147790148335,0.6668292518998596,0.7538877049387833,-0.5676898917415949
AMGN,2022-12-31,USD,78000000,78000000,4021000000,1747000000,2230000000,1572000000,1324000000,4101000000,,-415000000,,415000000,78000000.0,-67000000.0,,700000000,1748000000,132000000,-78000000,78000000,2037000000,2230000000,2863000000,1616000000,USD,65121000000,22186000000,7629000000,10120000000,4930000000,6392000000,43514000000,5427000000,9283000000,31609000000,16080000000,15529000000,4465000000,815000000.0,2491000000.0,2388000000,5899000000,61460000000,15687000000,1572000000,,1591000000,0,46312000000,,38900000000,1591000000,37354000000,38900000000,12524000000,2651000000,3661000000,,-28622000000,32514000000,534000000,USD,2649000000,,,439000000,179000000,911000000,340000000,180000000,91000000,78000000,-3473000000,-1049000000,0.0,0,0,,1040000000,1040000000,,,-19000000,,0,,-1873000000.0,,1616000000,2022-12-31,0.5744325208756568,0.16521748784543422,0.7345631002136199,0.732552198903147,0.7842762578767036,1.126956437507448,0.9267200132832824,0.645367336724962,-0.5215413816111534
AMGN,2022-09-30,USD,2859000000,6362000000,3503000000,1588000000,2660000000,1287000000,1112000000,3027000000,,-368000000,,368000000,6730000000.0,100000000.0,,628000000,2392000000,249000000,290000000,2143000000,2163000000,2660000000,3388000000,2143000000,USD,63700000000,24062000000,9502000000,12245000000,4757000000,5326000000,39638000000,5188000000,9200000000,28111000000,13266000000,14845000000,11056000000,,2743000000.0,2501000000,6339000000,60047000000,14331000000,1204000000,,1543000000,1543000000,45716000000,,38704000000,1543000000,37161000000,38704000000,11584000000,2875000000,3653000000,,-28066000000,32371000000,533500000,USD,2978000000,,,568000000,335000000,837000000,160000000,62000000,241000000,2143000000,-267000000,1588000000,0.0,0,0,,1038000000,1038000000,,,2984000000,,0,,4299000000.0,,2143000000,2022-09-30,0.4231314579757582,-0.07357175886046019,0.8293017908247093,0.8021913398658146,0.05795335722179767,1.3809806581750586,1.6344655952647411,0.5122250682543132,-0.5676898917415949
AMGN,2022-06-30,USD,2800000000,6266000000,3466000000,1510000000,2176000000,1327000000,1039000000,2995000000,,-328000000,,328000000,6594000000.0,-317000000.0,,629000000,1531000000,214000000,328000000,1317000000,1408000000,2176000000,2488000000,1317000000,USD,59294000000,19322000000,5203000000,7675000000,4554000000,5327000000,39972000000,5158000000,9000000000,28792000000,13927000000,14865000000,6413000000,,2472000000.0,2258000000,6022000000,56875000000,12618000000,1256000000,,817000000,817000000,44257000000,,36522000000,817000000,35705000000,36522000000,10545000000,2949000000,2419000000,,-28252000000,31343000000,534900000,USD,1930000000,,,-703000000,248000000,828000000,246000000,309000000,180000000,1317000000,-2193000000,-1062000000,0.0,0,0,,1038000000,1038000000,,,2000000,,0,,-1325000000.0,,1317000000,2022-06-30,0.27053623889152884,0.0061202368816204444,0.8875715256710023,0.8292250681694414,-0.5787582764691915,1.1357256085799892,0.7504419857711584,0.2336733923950209,-0.4753928714807119
