Ticker,fiscalDateEnding,INCOME_STATEMENT_reportedCurrency,INCOME_STATEMENT_grossProfit,INCOME_STATEMENT_totalRevenue,INCOME_STATEMENT_costOfRevenue,INCOME_STATEMENT_costofGoodsAndServicesSold,INCOME_STATEMENT_operatingIncome,INCOME_STATEMENT_sellingGeneralAndAdministrative,INCOME_STATEMENT_researchAndDevelopment,INCOME_STATEMENT_operatingExpenses,INCOME_STATEMENT_investmentIncomeNet,INCOME_STATEMENT_netInterestIncome,INCOME_STATEMENT_interestIncome,INCOME_STATEMENT_interestExpense,INCOME_STATEMENT_nonInterestIncome,INCOME_STATEMENT_otherNonOperatingIncome,INCOME_STATEMENT_depreciation,INCOME_STATEMENT_depreciationAndAmortization,INCOME_STATEMENT_incomeBeforeTax,INCOME_STATEMENT_incomeTaxExpense,INCOME_STATEMENT_interestAndDebtExpense,INCOME_STATEMENT_netIncomeFromContinuingOperations,INCOME_STATEMENT_comprehensiveIncomeNetOfTax,INCOME_STATEMENT_ebit,INCOME_STATEMENT_ebitda,INCOME_STATEMENT_netIncome,BALANCE_SHEET_reportedCurrency,BALANCE_SHEET_totalAssets,BALANCE_SHEET_totalCurrentAssets,BALANCE_SHEET_cashAndCashEquivalentsAtCarryingValue,BALANCE_SHEET_cashAndShortTermInvestments,BALANCE_SHEET_inventory,BALANCE_SHEET_currentNetReceivables,BALANCE_SHEET_totalNonCurrentAssets,BALANCE_SHEET_propertyPlantEquipment,BALANCE_SHEET_accumulatedDepreciationAmortizationPPE,BALANCE_SHEET_intangibleAssets,BALANCE_SHEET_intangibleAssetsExcludingGoodwill,BALANCE_SHEET_goodwill,BALANCE_SHEET_investments,BALANCE_SHEET_longTermInvestments,BALANCE_SHEET_shortTermInvestments,BALANCE_SHEET_otherCurrentAssets,BALANCE_SHEET_otherNonCurrentAssets,BALANCE_SHEET_totalLiabilities,BALANCE_SHEET_totalCurrentLiabilities,BALANCE_SHEET_currentAccountsPayable,BALANCE_SHEET_deferredRevenue,BALANCE_SHEET_currentDebt,BALANCE_SHEET_shortTermDebt,BALANCE_SHEET_totalNonCurrentLiabilities,BALANCE_SHEET_capitalLeaseObligations,BALANCE_SHEET_longTermDebt,BALANCE_SHEET_currentLongTermDebt,BALANCE_SHEET_longTermDebtNoncurrent,BALANCE_SHEET_shortLongTermDebtTotal,BALANCE_SHEET_otherCurrentLiabilities,BALANCE_SHEET_otherNonCurrentLiabilities,BALANCE_SHEET_totalShareholderEquity,BALANCE_SHEET_treasuryStock,BALANCE_SHEET_retainedEarnings,BALANCE_SHEET_commonStock,BALANCE_SHEET_commonStockSharesOutstanding,CASH_FLOW_reportedCurrency,CASH_FLOW_operatingCashflow,CASH_FLOW_paymentsForOperatingActivities,CASH_FLOW_proceedsFromOperatingActivities,CASH_FLOW_changeInOperatingLiabilities,CASH_FLOW_changeInOperatingAssets,CASH_FLOW_depreciationDepletionAndAmortization,CASH_FLOW_capitalExpenditures,CASH_FLOW_changeInReceivables,CASH_FLOW_changeInInventory,CASH_FLOW_profitLoss,CASH_FLOW_cashflowFromInvestment,CASH_FLOW_cashflowFromFinancing,CASH_FLOW_proceedsFromRepaymentsOfShortTermDebt,CASH_FLOW_paymentsForRepurchaseOfCommonStock,CASH_FLOW_paymentsForRepurchaseOfEquity,CASH_FLOW_paymentsForRepurchaseOfPreferredStock,CASH_FLOW_dividendPayout,CASH_FLOW_dividendPayoutCommonStock,CASH_FLOW_dividendPayoutPreferredStock,CASH_FLOW_proceedsFromIssuanceOfCommonStock,CASH_FLOW_proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,CASH_FLOW_proceedsFromIssuanceOfPreferredStock,CASH_FLOW_proceedsFromRepurchaseOfEquity,CASH_FLOW_proceedsFromSaleOfTreasuryStock,CASH_FLOW_changeInCashAndCashEquivalents,CASH_FLOW_changeInExchangeRate,CASH_FLOW_netIncome,observation_date,GDP,Quarterly_Return,M2SL,M1SL,FEDFUNDS,PPIACO,RTWEXBGS,CPIAUCSL,UNRATE
AMZN,2024-12-31,USD,49490000000,187579000000,138089000000,98893000000,21203000000,37387000000,23571000000,41096000000,1248000000,678000000.0,1248000000.0,570000000,187579000000,468000000,,1809000000,22329000000,2325000000,570000000,20004000000,21888000000,21203000000,23012000000,20004000000,USD,624894000000,190867000000,78779000000,101202000000,34214000000,55451000000,194450000000,252665000000,,31676000000,8602000000.0,23074000000,107985000000,1200000000.0,22423000000,,82147000000,338924000000,179431000000,94363000000,49203000000.0,6543000000,151000000,165993000000,9227000000,58000000000,5017000000,52623000000,58151000000,66965000000,28593000000,285970000000,7837000000,172866000000,111000000,10593000000,USD,45636000000,3295000000,,10337000000,3256000000,15631000000,27834000000,,-934000000,20004000000,-37443000000,-3308000000,-53000000,0,0,,,,,,0,,0,,,,20004000000,2024-12-31,1.5453124834581495,0.1774271305410582,0.7582578471635647,0.43039730927674547,1.1285721783170166,0.7229758697439448,1.1651109452140733,1.5051185300346124,-0.2446503208285047
AMZN,2024-09-30,USD,63555000000,158894000000,95339000000,80977000000,17411000000,13322000000,22245000000,14362000000,1256000000,653000000.0,1256000000.0,603000000,158894000000,-27000000,,1040000000,18034000000,2706000000,603000000,15328000000,17403000000,17411000000,18451000000,15328000000,USD,584626000000,175792000000,75091000000,88051000000,36103000000,51638000000,174170000000,237917000000,,23081000000,,23081000000,86332000000,,12960000000,2938000000.0,71309000000,325475000000,161477000000,84570000000,23305000000.0,6729000000,88000000,170998000000,9426000000,60500000000,5248000000,54890000000,60588000000,60602000000,29306000000,259151000000,7837000000,152862000000,110000000,10511000000,USD,25971000000,3011000000,,-56000000,6046000000,13442000000,22620000000,,1509000000,15328000000,-16899000000,-2758000000,-95000000,0,0,,,,,,0,,0,,,,15328000000,2024-09-30,1.438721014584474,-0.03580852868794315,0.6619072690048585,0.39984791203102027,1.364391301906272,0.6909983302505033,1.08011975337787,1.3845500789549057,-0.2446503208285047
AMZN,2024-06-30,USD,59553000000,147839000000,88286000000,73785000000,14672000000,13553000000,22304000000,14501000000,1180000000,,,589000000,147839000000,-18000000,,948000000,15252000000,1767000000,589000000,13485000000,13090000000,14672000000,15620000000,13485000000,USD,554818000000,173307000000,71178000000,89092000000,34109000000,50106000000,160798000000,220717000000,,22879000000,,22879000000,94290000000,,17914000000,5906000000.0,63340000000,318371000000,158172000000,81817000000,22704000000.0,8944000000,76000000,166899000000,9388000000,62683000000,7429000000,54889000000,62759000000,60351000000,27226000000,236447000000,7837000000,137534000000,110000000,10490000000,USD,25281000000,2916000000,,6412000000,6140000000,12038000000,17620000000,,3085000000,13485000000,-22138000000,-4490000000,296000000,0,0,,,,,,0,,0,,,,13485000000,2024-06-30,1.3214810689022394,0.07134934454375519,0.5966258233264383,0.3912754589941218,1.364391301906272,0.8048214664209892,1.0056418752740055,1.3091947970300881,-0.3369473410893877
AMZN,2024-03-31,USD,56617000000,142595000000,85978000000,72633000000,15307000000,12404000000,16960000000,13345000000,993000000,-644000000.0,993000000.0,644000000,143239000000,-2673000000,,941000000,12898000000,2467000000,644000000,10431000000,9873000000,13542000000,14483000000,10431000000,USD,530969000000,163989000000,72852000000,85074000000,31147000000,47768000000,157036000000,209950000000,,22770000000,,22770000000,83568000000,,12222000000,5568000000.0,60947000000,314308000000,152965000000,73068000000,22327000000.0,10524000000,50000000,167743000000,9614000000,66852000000,8848000000,57634000000,66902000000,63970000000,26657000000,216661000000,7837000000,124049000000,109000000,10403000000,USD,18989000000,3406000000,,-9714000000,925000000,11684000000,14925000000,,-1776000000,10431000000,-17862000000,-1256000000,-66000000,0,0,,,,,,0,,0,,,,10431000000,2024-03-31,1.1929671703193223,0.18717916272493174,0.5276370362885041,0.38451702691821543,1.364391301906272,0.775978289278778,0.5299504333846666,1.264332117558572,-0.38309585121982914
AMZN,2023-12-31,USD,39401000000,169328000000,129927000000,92553000000,13209000000,36212000000,22038000000,39274000000,901000000,-713000000.0,901000000.0,713000000,170041000000,289000000,,2082000000,13666000000,3042000000,713000000,10644000000,12587000000,14379000000,16461000000,10624000000,USD,527854000000,172351000000,73387000000,86780000000,33318000000,52253000000,159019000000,204177000000,,30476000000,7687000000.0,22789000000,84312000000,614000000.0,13393000000,6897000000.0,56024000000,325979000000,164917000000,84981000000,41527000000.0,10526000000,147000000,166762000000,10077000000,67182000000,8494000000,58314000000,67329000000,64709000000,25451000000,201875000000,7837000000,113618000000,109000000,10383000000,USD,42465000000,2840000000,,14517000000,9622000000,13820000000,14588000000,,-2643000000,10644000000,-12601000000,-6746000000,-5604000000,0,0,,,,,,0,,0,,,,10624000000,2023-12-31,1.0859056942932193,0.19524857739583146,0.4985021688653562,0.3995750062227294,1.364391301906272,0.5918256967554273,1.1957867784330931,1.1166007160175941,-0.4753928714807119
AMZN,2023-09-30,USD,52610000000,142183000000,89573000000,75022000000,11188000000,13112000000,21203000000,14551000000,776000000,-806000000.0,1072000000.0,806000000,142989000000,1031000000,,1439000000,12185000000,2306000000,806000000,9879000000,8556000000,12991000000,14430000000,9879000000,USD,486883000000,142995000000,49605000000,64169000000,35406000000,43420000000,147431000000,196468000000,,22749000000,,22749000000,64435000000,,14564000000,5320000000.0,53913000000,303910000000,145214000000,72004000000,17098000000.0,8546000000,166000000,161396000000,10081000000,67472000000,5995000000,61098000000,67638000000,58812000000,21707000000,182973000000,7837000000,102994000000,108000000,10330000000,USD,21217000000,2768000000,,2795000000,-808000000,12131000000,12479000000,,-808000000,9879000000,-11753000000,-8948000000,-7879000000,0,0,,,,,,0,,0,,,,9879000000,2023-09-30,0.9781346252960409,-0.02485423326633629,0.5328756708182539,0.4499502077766368,1.2653472699987847,0.9111784810357393,0.18117999426403733,1.0569736586340626,-0.4753928714807119
AMZN,2023-06-30,USD,48693000000,133552000000,84859000000,69373000000,7681000000,13947000000,18829000000,15486000000,661000000,-840000000.0,661000000.0,840000000,134392000000,61000000,,1539000000,7554000000,804000000,840000000,6750000000,7043000000,8394000000,9933000000,6750000000,USD,477607000000,140482000000,49529000000,63970000000,36587000000,39925000000,143356000000,193784000000,,22785000000,,22785000000,64292000000,,14441000000,9000000000.0,50224000000,309005000000,148238000000,69481000000,17222000000.0,8121000000,1100000000,163467000000,10434000000,67472000000,3997000000,63092000000,68572000000,64235000000,21853000000,168602000000,7837000000,93115000000,108000000,10313000000,USD,16476000000,2605000000,,3185000000,2373000000,11589000000,11455000000,-5167000000.0,2373000000,6750000000,-9673000000,-6539000000,-3242000000,0,0,,,,,,0,,0,,264000000.0,,6750000000,2023-06-30,0.809939489151211,0.2620776401867082,0.5106316226611624,0.492555620435678,1.1285721783170166,0.7324846094611578,0.41977666618958837,0.9134919445039601,-0.5215413816111534
AMZN,2023-03-31,USD,43403000000,126605000000,83202000000,67791000000,4774000000,13215000000,17420000000,15411000000,611000000,-823000000.0,611000000.0,823000000,127428000000,-443000000,,1546000000,4120000000,948000000,823000000,3172000000,3686000000,4943000000,6489000000,3172000000,USD,464378000000,136221000000,49343000000,64405000000,34170000000,37646000000,137417000000,190754000000,,22749000000,,22749000000,65659000000,,15062000000,377000000.0,46392000000,309852000000,147570000000,66907000000,17081000000.0,6776000000,1100000000,165082000000,10771000000,69472000000,2000000000,67084000000,70572000000,66382000000,20931000000,154526000000,7837000000,86365000000,108000000,10258000000,USD,4788000000,2548000000,,-10446000000,-371000000,11123000000,14207000000,1521000000.0,-371000000,3172000000,-15806000000,6354000000,9177000000,0,0,,,,,,0,,0,,-4664000000.0,,3172000000,2023-03-31,0.7151996630278257,0.2296428680419944,0.7003910842041741,0.6379502031232946,0.8927530547277613,0.8452512189963979,0.48941965441654484,0.8058916117089889,-0.5215413816111534
AMZN,2022-12-31,USD,-1360000000,148376000000,1360000000,85640000000,2737000000,36751000000,3653000000,1360000000,445000000,-694000000.0,445000000.0,694000000,149070000000,-3450000000,,2118000000,-949000000,-1227000000,694000000,-2720000000,2906000000,-255000000,1863000000,278000000,USD,462675000000,146791000000,53888000000,70026000000,34405000000,42360000000,135273000000,186715000000,,26385000000,6097000000.0,20288000000,72154000000,,16138000000,358000000.0,42758000000,316632000000,155393000000,79600000000,32227000000.0,7396000000,1200000000,164139000000,11386000000,70542000000,2999000000,67150000000,71742000000,62566000000,21121000000,146043000000,7837000000,83193000000,108000000,10242000000,USD,29173000000,2449000000,,1300000000,-3180000000,12685000000,16592000000,-8788000000.0,-3180000000,-2720000000,-10821000000,86000000,0,0,0,,,,,,8235000000,,0,,18438000000.0,,278000000,2022-12-31,0.5744325208756568,-0.25663716814159154,0.7992400880616843,0.732552198903147,0.30320524575462315,0.8746578770107399,1.9577037010354001,0.6816868301643071,-0.5215413816111534
AMZN,2022-09-30,USD,40542000000,126381000000,85839000000,70268000000,2525000000,14075000000,16787000000,15571000000,277000000,-617000000.0,277000000.0,617000000,126998000000,759000000,,1496000000,2941000000,69000000,617000000,2872000000,539000000,3558000000,5054000000,2872000000,USD,428362000000,131463000000,34947000000,58662000000,36647000000,36154000000,119711000000,177195000000,,20168000000,,20168000000,65881000000,,23715000000,36154000000.0,37503000000,290873000000,140363000000,67760000000,15329000000.0,10383000000,1100000000,153210000000,11595000000,63541000000,4247000000,58919000000,64641000000,59974000000,22259000000,137489000000,7837000000,82915000000,107000000,10198000000,USD,11404000000,1901000000,,-1172000000,-732000000,10327000000,16378000000,-4794000000.0,-732000000,2872000000,-15608000000,3016000000,4422000000,0,0,,,,,,107000000,,0,,-1188000000.0,,2872000000,2022-09-30,0.4231314579757582,0.06392995926990985,0.8844283449531527,0.8021913398658146,-0.35708830029529165,1.2268686396471984,1.168629099124504,0.5771094708884136,-0.5215413816111534
