Ticker,fiscalDateEnding,INCOME_STATEMENT_reportedCurrency,INCOME_STATEMENT_grossProfit,INCOME_STATEMENT_totalRevenue,INCOME_STATEMENT_costOfRevenue,INCOME_STATEMENT_costofGoodsAndServicesSold,INCOME_STATEMENT_operatingIncome,INCOME_STATEMENT_sellingGeneralAndAdministrative,INCOME_STATEMENT_researchAndDevelopment,INCOME_STATEMENT_operatingExpenses,INCOME_STATEMENT_investmentIncomeNet,INCOME_STATEMENT_netInterestIncome,INCOME_STATEMENT_interestIncome,INCOME_STATEMENT_interestExpense,INCOME_STATEMENT_nonInterestIncome,INCOME_STATEMENT_otherNonOperatingIncome,INCOME_STATEMENT_depreciation,INCOME_STATEMENT_depreciationAndAmortization,INCOME_STATEMENT_incomeBeforeTax,INCOME_STATEMENT_incomeTaxExpense,INCOME_STATEMENT_interestAndDebtExpense,INCOME_STATEMENT_netIncomeFromContinuingOperations,INCOME_STATEMENT_comprehensiveIncomeNetOfTax,INCOME_STATEMENT_ebit,INCOME_STATEMENT_ebitda,INCOME_STATEMENT_netIncome,BALANCE_SHEET_reportedCurrency,BALANCE_SHEET_totalAssets,BALANCE_SHEET_totalCurrentAssets,BALANCE_SHEET_cashAndCashEquivalentsAtCarryingValue,BALANCE_SHEET_cashAndShortTermInvestments,BALANCE_SHEET_inventory,BALANCE_SHEET_currentNetReceivables,BALANCE_SHEET_totalNonCurrentAssets,BALANCE_SHEET_propertyPlantEquipment,BALANCE_SHEET_accumulatedDepreciationAmortizationPPE,BALANCE_SHEET_intangibleAssets,BALANCE_SHEET_intangibleAssetsExcludingGoodwill,BALANCE_SHEET_goodwill,BALANCE_SHEET_investments,BALANCE_SHEET_longTermInvestments,BALANCE_SHEET_shortTermInvestments,BALANCE_SHEET_otherCurrentAssets,BALANCE_SHEET_otherNonCurrentAssets,BALANCE_SHEET_totalLiabilities,BALANCE_SHEET_totalCurrentLiabilities,BALANCE_SHEET_currentAccountsPayable,BALANCE_SHEET_deferredRevenue,BALANCE_SHEET_currentDebt,BALANCE_SHEET_shortTermDebt,BALANCE_SHEET_totalNonCurrentLiabilities,BALANCE_SHEET_capitalLeaseObligations,BALANCE_SHEET_longTermDebt,BALANCE_SHEET_currentLongTermDebt,BALANCE_SHEET_longTermDebtNoncurrent,BALANCE_SHEET_shortLongTermDebtTotal,BALANCE_SHEET_otherCurrentLiabilities,BALANCE_SHEET_otherNonCurrentLiabilities,BALANCE_SHEET_totalShareholderEquity,BALANCE_SHEET_treasuryStock,BALANCE_SHEET_retainedEarnings,BALANCE_SHEET_commonStock,BALANCE_SHEET_commonStockSharesOutstanding,CASH_FLOW_reportedCurrency,CASH_FLOW_operatingCashflow,CASH_FLOW_paymentsForOperatingActivities,CASH_FLOW_proceedsFromOperatingActivities,CASH_FLOW_changeInOperatingLiabilities,CASH_FLOW_changeInOperatingAssets,CASH_FLOW_depreciationDepletionAndAmortization,CASH_FLOW_capitalExpenditures,CASH_FLOW_changeInReceivables,CASH_FLOW_changeInInventory,CASH_FLOW_profitLoss,CASH_FLOW_cashflowFromInvestment,CASH_FLOW_cashflowFromFinancing,CASH_FLOW_proceedsFromRepaymentsOfShortTermDebt,CASH_FLOW_paymentsForRepurchaseOfCommonStock,CASH_FLOW_paymentsForRepurchaseOfEquity,CASH_FLOW_paymentsForRepurchaseOfPreferredStock,CASH_FLOW_dividendPayout,CASH_FLOW_dividendPayoutCommonStock,CASH_FLOW_dividendPayoutPreferredStock,CASH_FLOW_proceedsFromIssuanceOfCommonStock,CASH_FLOW_proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,CASH_FLOW_proceedsFromIssuanceOfPreferredStock,CASH_FLOW_proceedsFromRepurchaseOfEquity,CASH_FLOW_proceedsFromSaleOfTreasuryStock,CASH_FLOW_changeInCashAndCashEquivalents,CASH_FLOW_changeInExchangeRate,CASH_FLOW_netIncome,observation_date,GDP,Quarterly_Return,M2SL,M1SL,FEDFUNDS,PPIACO,RTWEXBGS,CPIAUCSL,UNRATE
CVS,2024-12-31,USD,-18310000000,97710000000,116020000000,55268000000,2368000000,,,12013000000,755000000,-758000000,,758000000,31404000000,25000000,,570000000,2147000000,503000000,267000000,1623000000,1315000000,2368000000,2938000000,1644000000,USD,253215000000,68645000000,8586000000,10993000000,18107000000,44435000000,169609000000,11853000000,,118595000000,27323000000,91272000000,31341000000,28934000000,2407000000,3076000000,4793000000,177485000000,84609000000,15892000000,144000000,5743000000,2119000000,84663000000,1295000000,126706000000,3559000000,,128825000000,61223000000,5431000000,75560000000,36818000000,62837000000,18000000,1260000000,USD,1860000000,42966000000,93904000000,-434000000,-40000000,1147000000,768000000,315000000,457000000,1623000000,-547000000,431000000,1319000000,0,0,,838000000,838000000,,,2954000000,,19000000,,,,1644000000,2024-12-31,1.5453124834581495,-0.28610053073916086,0.7582578471635647,0.43039730927674547,1.0389609113530993,0.7050501344992731,1.9965062640475217,1.4157874719853683,-0.2446503208285047
CVS,2024-09-30,USD,-18812000000,95428000000,114240000000,52948000000,832000000,,,12005000000,550000000,-752000000,,752000000,30925000000,25000000,,507000000,121000000,34000000,752000000,71000000,615000000,832000000,1339000000,87000000,USD,252427000000,67343000000,6875000000,9680000000,17649000000,42911000000,169222000000,12728000000,,119089000000,27817000000,91272000000,31744000000,28939000000,2805000000,3835000000,4763000000,177321000000,84627000000,15713000000,174000000,5710000000,800000000,84198000000,17170000000,174000000,4910000000,,974000000,61292000000,5484000000,74944000000,36813000000,62038000000,18000000,1258000000,USD,-745000000,0,91259000000,1596000000,3975000000,1161000000,670000000,3784000000,1582000000,71000000,-3347000000,-1588000000,800000000,-1000000,-1000000,,837000000,837000000,,,0,,115000000,,,,87000000,2024-09-30,1.438721014584474,0.06467997978326978,0.6619072690048585,0.39984791203102027,1.364391301906272,0.8543725656140209,0.8351039936157432,1.3282526735633993,-0.2446503208285047
CVS,2024-06-30,USD,-15079000000,91234000000,106313000000,49998000000,3045000000,,,10947000000,394000000,-732000000,,732000000,30667000000,24000000,,507000000,2339000000,569000000,732000000,1768000000,1792000000,3045000000,3552000000,1770000000,USD,252481000000,69952000000,12507000000,16262000000,16068000000,37019000000,166569000000,13032000000,,119583000000,28311000000,91272000000,28783000000,25028000000,3755000000,5237000000,4798000000,177370000000,81386000000,14416000000,128000000,3731000000,0,87758000000,17448000000,178000000,3731000000,,178000000,61328000000,5526000000,74930000000,36919000000,62797000000,18000000,1256000000,USD,3089000000,40115000000,89163000000,-501000000,-662000000,1151000000,638000000,210000000,-277000000,1768000000,-1625000000,1249000000,-2719000000,-3000000,-3000000,,858000000,858000000,,,4959000000,,28000000,,,,1770000000,2024-06-30,1.3214810689022394,-0.25952858837169634,0.5966258233264383,0.3912754589941218,1.364391301906272,0.8422929444177094,1.188565304616945,1.3041565078316286,-0.3369473410893877
CVS,2024-03-31,USD,39717000000,88437000000,48720000000,48073000000,2271000000,,,10958000000,454000000,-716000000,,716000000,30391000000,25000000,,508000000,1569000000,456000000,716000000,1124000000,1069000000,2285000000,2793000000,1113000000,USD,249743000000,67473000000,9801000000,13089000000,16346000000,35747000000,166217000000,13037000000,,120042000000,28770000000,91272000000,27362000000,24074000000,3288000000,5821000000,4801000000,175593000000,83319000000,13717000000,117000000,6450000000,2719000000,83825000000,17648000000,57694000000,3731000000,,2719000000,61246000000,6205000000,73968000000,36773000000,61873000000,18000000,1252000000,USD,4903000000,36133000000,85404000000,889000000,-1832000000,1138000000,705000000,-3008000000,-1660000000,1124000000,-2094000000,-1227000000,2519000000,3027000000,3027000000,,840000000,840000000,,,0,,-2824000000,,,,1113000000,2024-03-31,1.1929671703193223,0.010131751026264624,0.5276370362885041,0.38451702691821543,1.364391301906272,0.6425389752472279,0.7098083368056521,1.1629967878538605,-0.38309585121982914
CVS,2023-12-31,USD,-138670000000,93813000000,232483000000,57419000000,3373000000,9185000000.0,,42333000000,268000000,-690000000,,690000000,25075000000,22000000,,588000000,2704000000,658000000,690000000,2047000000,2753000000,3394000000,3982000000,2046000000,USD,249728000000,67858000000,8196000000,11455000000,18025000000,39121000000,166905000000,11954000000,,120506000000,29234000000,91272000000,26278000000,23019000000,3259000000,3151000000,4660000000,173092000000,79189000000,14897000000,149000000,2972000000,200000000,85194000000,1325000000,121324000000,2706000000,,121524000000,59579000000,6211000000,76461000000,33838000000,61604000000,18000000,1288000000,USD,-2636000000,97203000000,85574000000,-3640000000,2404000000,1134000000,911000000,2340000000,72000000,2047000000,-1242000000,-972000000,200000000,-1000000,-1000000,,779000000,779000000,,,0,,36000000,,,,2046000000,2023-12-31,1.0859056942932193,0.13090804109995036,0.4985021688653562,0.3995750062227294,1.364391301906272,0.7793943920660732,0.47275471484081805,1.0691969863416344,-0.4753928714807119
CVS,2023-09-30,USD,34462000000,89764000000,55302000000,54688000000,3690000000,,,614000000,277000000,-693000000,693000000.0,693000000,24657000000,22000000,,509000000,3015000000,754000000,693000000,2265000000,2115000000,3708000000,4217000000,2261000000,USD,251306000000,70143000000,13043000000,16188000000,17954000000,35530000000,178199000000,13022000000,,120885000000,29624000000,91261000000,24812000000,21667000000,3145000000,3074000000,4825000000,176796000000,81553000000,14874000000,167000000,2132000000,3873000000,86710000000,18182000000,190000000,2132000000,,190000000,6188000000,6237000000,74337000000,33831000000,60343000000,18000000,1287000000,USD,2716000000,58000000,85106000000,2484000000,3216000000,1127000000,545000000,3116000000,495000000,2265000000,-771000000,-2697000000,-1000000000,-3000000,-3000000,,779000000,779000000,,,0,,125000000,,,,2261000000,2023-09-30,0.9781346252960409,0.009981230563006482,0.5328756708182539,0.4499502077766368,1.364391301906272,0.7316041705984527,0.8632903728981444,0.9360985290814059,-0.4753928714807119
CVS,2023-06-30,USD,34247000000,88921000000,54674000000,53536000000,3234000000,,,1138000000,274000000,-686000000,686000000.0,686000000,25108000000,22000000,,485000000,2557000000,656000000,686000000,1914000000,1918000000,3243000000,3728000000,1901000000,USD,250071000000,67756000000,13807000000,16887000000,17291000000,32153000000,179281000000,13001000000,,121378000000,30118000000,91260000000,25194000000,22114000000,3080000000,3412000000,4852000000,177069000000,79206000000,13367000000,161000000,2402000000,1000000000,88937000000,18315000000,194000000,1402000000,,1194000000,6485000000,6321000000,72726000000,33933000000,58868000000,18000000,1282000000,USD,5908000000,0,88144000000,1493000000,-1261000000,1104000000,591000000,53000000,-972000000,1914000000,-10362000000,3626000000,0,-2000000,-2000000,,795000000,795000000,,,4947000000,,26000000,,-828000000.0,,1901000000,2023-06-30,0.809939489151211,-0.06970798648043641,0.5106316226611624,0.492555620435678,1.2370489751680738,0.839827715602136,0.44407455957098624,0.8591222323709973,-0.5215413816111534
CVS,2023-03-31,USD,32962000000,85278000000,52316000000,51455000000,3446000000,,,794000000,334000000,-589000000,589000000.0,589000000,24352000000,22000000,,402000000,2873000000,737000000,589000000,2142000000,2525000000,3462000000,3864000000,2136000000,USD,239330000000,68706000000,14618000000,17720000000,18263000000,30651000000,167623000000,12872000000,,110425000000,26368000000,84057000000,24714000000,21612000000,3102000000,3767000000,4824000000,167750000000,75054000000,12527000000,136000000,1778000000,3457000000,83787000000,18250000000,198000000,1778000000,,198000000,58934000000,6671000000,71382000000,33802000000,57753000000,18000000,1279000000,USD,7438000000,10731000000,88224000000,5215000000,1178000000,1001000000,984000000,751000000,-828000000,2142000000,-8514000000,2726000000,0,2018000000,2018000000,,779000000,779000000,,,5951000000,,-1922000000,,1650000000.0,,2136000000,2023-03-31,0.7151996630278257,-0.20259689224370747,0.7003910842041741,0.6379502031232946,1.005946234050604,0.9567147790148335,0.6668292518998596,0.7538877049387833,-0.5215413816111534
CVS,2022-12-31,USD,-112137000000,83846000000,195983000000,51728000000,3451000000,9339000000.0,,1542000000,323000000,-552000000,552000000.0,552000000,21686000000,43000000,,489000000,2944000000,772000000,552000000,2284000000,1430000000,3496000000,3985000000,2172000000,USD,228275000000,65633000000,12945000000,15723000000,19090000000,30725000000,159581000000,12873000000,21483000000.0,102953000000,24803000000,78150000000,23891000000,21096000000,2778000000,2636000000,4620000000,156506000000,69421000000,14838000000,71000000,1778000000,0,77888000000,1406000000,102776000000,1719000000,,102776000000,47562000000,6730000000,71469000000,31858000000,56398000000,18000000,1300000000,USD,-1952000000,13354000000,78966000000,-3439000000,2237000000,1066000000,688000000,962000000,1020000000,2170000000,-119000000,-2187000000,0,1500000000,1500000000,,719000000,719000000,,,0,,-1459000000,,-4258000000.0,,2172000000,2022-12-31,0.5744325208756568,-0.022858343739052045,0.7992400880616843,0.732552198903147,0.6333520187795804,1.126956437507448,0.9267200132832824,0.645367336724962,-0.5215413816111534
CVS,2022-09-30,USD,27850000000,81159000000,53309000000,50365000000,-3919000000,,,8164000000,201000000,-566000000,566000000.0,566000000,21003000000,41000000,,464000000,-4451000000,-1045000000,566000000,-3409000000,-3791000000,-3885000000,-3421000000,-3406000000,USD,231212000000,68341000000,17197000000,19989000000,18058000000,28964000000,159768000000,12626000000,,103243000000,25157000000,78086000000,23375000000,20565000000,2792000000,2479000000,4849000000,160201000000,72409000000,13925000000,74000000,1363000000,3050000000,78299000000,18861000000,204000000,1363000000,,204000000,51926000000,6769000000,70683000000,30326000000,54571000000,18000000,1315000000,USD,9123000000,8035000000,83753000000,11011000000,192000000,1050000000,580000000,-678000000,884000000,-3399000000,-805000000,-3218000000,0,0,0,,726000000,726000000,,,0,,162000000,,5100000000.0,,-3406000000,2022-09-30,0.4231314579757582,0.02924669735989993,0.8844283449531527,0.8021913398658146,-0.050523439629259745,1.3809806581750586,1.6344655952647411,0.5122250682543132,-0.5215413816111534
CVS,2022-06-30,USD,30880000000,80636000000,49756000000,49290000000,4669000000,,,9171000000,146000000,-583000000,583000000.0,583000000,21485000000,43000000,,466000000,4119000000,1090000000,583000000,2961000000,2489000000,4702000000,5168000000,3029000000,USD,230279000000,62142000000,12116000000,14993000000,17375000000,29741000000,164213000000,12764000000,,106695000000,28135000000,78560000000,24001000000,21124000000,2877000000,2541000000,4852000000,154773000000,68457000000,13238000000,80000000,4019000000,5873000000,75889000000,19356000000,210000000,4019000000,,210000000,43896000000,2140000000,75184000000,30412000000,58710000000,18000000,1312000000,USD,5443000000,6518000000,77578000000,1391000000,-176000000,1082000000,408000000,720000000,-869000000,3039000000,-2130000000,-2461000000,0,0,0,,740000000,740000000,,,0,,51000000,,852000000.0,,3029000000,2022-06-30,0.27053623889152884,-0.08447777393246492,0.9160616380751032,0.8292250681694414,-0.7862791052277361,1.1357256085799892,0.7504419857711584,0.2336733923950209,-0.5215413816111534
CVS,2022-03-31,USD,30808000000,76826000000,46018000000,45509000000,3545000000,,,9876000000,168000000,-586000000,586000000.0,586000000,21631000000,42000000,,468000000,3000000000,646000000,586000000,2313000000,1591000000,3586000000,4054000000,2354000000,USD,232873000000,61483000000,8442000000,11342000000,18160000000,28981000000,166976000000,12844000000,,107603000000,28543000000,79060000000,25568000000,22595000000,2900000000,5530000000,4877000000,158733000000,69780000000,12738000000,80000000,4217000000,6066000000,77920000000,19635000000,52063000000,4217000000,,75915000000,50896000000,2242000000,73830000000,30145000000,56488000000,17000000,1306000000,USD,3563000000,9751000000,74391000000,3012000000,2719000000,1049000000,1051000000,1967000000,400000000,2355000000,-1993000000,-2650000000,0,2000000000,2000000000,,722000000,722000000,,,0,,-1703000000,,-1080000000.0,,2354000000,2022-03-31,0.07732925972842776,-0.018902719158711556,0.8525129715103692,0.7966047974372742,-1.1117094957809084,0.4716281832189576,-0.10955119233421728,-0.030946318550265396,-0.4292443613502706
CVS,2021-12-31,USD,-99964000000,76604000000,176568000000,46378000000,2229000000,9327000000.0,,1670000000,367000000,-608000000,608000000.0,608000000,19116000000,38000000,,632000000,1580000000,274000000,697000000,1308000000,1194000000,2188000000,2820000000,1306000000,USD,232999000000,60008000000,9408000000,12525000000,17760000000,27820000000,168122000000,12896000000,20654000000.0,108147000000,29026000000,79121000000,26142000000,23025000000,3117000000,5292000000,4714000000,157618000000,67807000000,12544000000,87000000,4205000000,5851000000,78322000000,1250000000,111105000000,4155000000,,111105000000,43142000000,1904000000,75075000000,28173000000,54906000000,17000000,1322000000,USD,4005000000,12962000000,75276000000,-286000000,-468000000,1115000000,597000000,-801000000,362000000,1296000000,-1440000000,-2914000000,0,0,0,,660000000,660000000,,,0,,109000000,,-266000000.0,,1306000000,2021-12-31,-0.06617773609572862,0.21564933914843176,0.6862064737851605,0.7253442749077025,-1.1117094957809084,0.2607454668238865,-0.25221130470222297,-0.29442693802459224,-0.2446503208285047
CVS,2021-09-30,USD,27771000000,73794000000,46023000000,45011000000,3061000000,9190000000.0,,1012000000,246000000,-602000000,602000000.0,602000000,18621000000,49000000,,561000000,2156000000,558000000,965000000,1587000000,1505000000,2758000000,3319000000,1598000000,USD,234891000000,60842000000,9826000000,12841000000,17399000000,28050000000,169181000000,12771000000,,108666000000,29545000000,79121000000,25385000000,22370000000,3015000000,5319000000,4694000000,160273000000,64709000000,12696000000,78000000,1561000000,3370000000,83927000000,20265000000,224000000,1561000000,,224000000,5731000000,2310000000,74308000000,28166000000,54264000000,17000000,1321000000,USD,5521000000,7772000000,72671000000,3594000000,1427000000,1134000000,608000000,1120000000,420000000,1587000000,-847000000,-1930000000,0,0,0,,659000000,659000000,,,987000000,,110000000,,2255000000.0,,1598000000,2021-09-30,-0.3460372107907515,0.017018194240139506,0.47658049821778886,0.6349482392320961,-1.1069931133091233,-0.042653765264213085,-0.9162577117962186,-0.4943374911774646,0.170686270345468
CVS,2021-06-30,USD,28474000000,72616000000,44142000000,43520000000,4326000000,8829000000.0,,8869000000,289000000,-636000000,636000000.0,636000000,18983000000,45000000,,582000000,3727000000,944000000,636000000,2791000000,2931000000,4363000000,4945000000,2783000000,USD,231164000000,56559000000,7119000000,10125000000,16979000000,26410000000,169943000000,12664000000,,109632000000,30080000000,79552000000,25142000000,22136000000,3006000000,5291000000,4817000000,157599000000,59311000000,11052000000,79000000,60000000,1851000000,86674000000,20300000000,59294000000,60000000,,79654000000,5942000000,2314000000,73244000000,28252000000,53331000000,17000000,1318000000,USD,5847000000,7017000000,70306000000,1553000000,-425000000,1137000000,486000000,291000000,-638000000,2791000000,-1107000000,-3327000000,0,0,0,,650000000,650000000,,,0,,118000000,,3710000000.0,,2783000000,2021-06-30,-0.5270783362938625,0.10913197817524845,0.2749333660111127,0.546687290174294,-1.1211422607244785,-0.5339386506535319,-1.3221621474622687,-0.7282893548277656,0.4937258412585582
