,index,BS_Ordinary Shares Number,BS_Share Issued,BS_Total Debt,BS_Tangible Book Value,BS_Invested Capital,BS_Working Capital,BS_Net Tangible Assets,BS_Common Stock Equity,BS_Total Capitalization,BS_Total Equity Gross Minority Interest,BS_Stockholders Equity,BS_Gains Losses Not Affecting Retained Earnings,BS_Other Equity Adjustments,BS_Retained Earnings,BS_Capital Stock,BS_Common Stock,BS_Total Liabilities Net Minority Interest,BS_Total Non Current Liabilities Net Minority Interest,BS_Other Non Current Liabilities,BS_Long Term Debt And Capital Lease Obligation,BS_Long Term Debt,BS_Current Liabilities,BS_Payables And Accrued Expenses,BS_Payables,BS_Accounts Payable,BS_Total Assets,BS_Total Non Current Assets,BS_Other Non Current Assets,BS_Goodwill And Other Intangible Assets,BS_Goodwill,BS_Net PPE,BS_Current Assets,BS_Receivables,BS_Accounts Receivable,BS_Cash Cash Equivalents And Short Term Investments,BS_Cash And Cash Equivalents,IS_Tax Effect Of Unusual Items,IS_Tax Rate For Calcs,IS_Normalized EBITDA,IS_Net Income From Continuing Operation Net Minority Interest,IS_Reconciled Depreciation,IS_Reconciled Cost Of Revenue,IS_EBITDA,IS_EBIT,IS_Net Interest Income,IS_Interest Expense,IS_Normalized Income,IS_Net Income From Continuing And Discontinued Operation,IS_Total Expenses,IS_Total Operating Income As Reported,IS_Diluted Average Shares,IS_Basic Average Shares,IS_Diluted EPS,IS_Basic EPS,IS_Diluted NI Availto Com Stockholders,IS_Net Income Common Stockholders,IS_Net Income,IS_Net Income Including Noncontrolling Interests,IS_Net Income Continuous Operations,IS_Tax Provision,IS_Pretax Income,IS_Other Income Expense,IS_Other Non Operating Income Expenses,IS_Net Non Operating Interest Income Expense,IS_Interest Expense Non Operating,IS_Operating Income,IS_Operating Expense,IS_Gross Profit,IS_Cost Of Revenue,IS_Total Revenue,IS_Operating Revenue,CF_Free Cash Flow,CF_Repayment Of Debt,CF_Issuance Of Debt,CF_Capital Expenditure,CF_End Cash Position,CF_Beginning Cash Position,CF_Changes In Cash,CF_Financing Cash Flow,CF_Cash Flow From Continuing Financing Activities,CF_Net Issuance Payments Of Debt,CF_Net Long Term Debt Issuance,CF_Long Term Debt Payments,CF_Long Term Debt Issuance,CF_Investing Cash Flow,CF_Cash Flow From Continuing Investing Activities,CF_Net Investment Purchase And Sale,CF_Operating Cash Flow,CF_Cash Flow From Continuing Operating Activities,CF_Change In Working Capital,CF_Change In Receivables,CF_Changes In Account Receivables,CF_Depreciation Amortization Depletion,CF_Depreciation And Amortization,CF_Net Income From Continuing Operations,Ticker,Industry
15,2020,1771230274.0,1981156896.0,19649000000.0,-5744000000.0,51531000000.0,8534000000.0,-5744000000.0,32784000000.0,51311000000.0,33003000000.0,32784000000.0,-8946000000.0,-8946000000.0,27627000000.0,24145000000.0,24145000000.0,39545000000.0,27638000000.0,3684000000.0,19429000000.0,18527000000.0,11907000000.0,11687000000.0,5422000000.0,3946000000.0,72548000000.0,52107000000.0,3729000000.0,38528000000.0,23744000000.0,9029000000.0,20441000000.0,8281000000.0,6414000000.0,7148000000.0,6838000000.0,800000.0,0.1,8833000000.0,4471000000.0,3327000000.0,13808000000.0,8841000000.0,5514000000.0,-500000000.0,546000000.0,4463800000.0,4495000000.0,29251000000.0,5357000000.0,1786000000.0,1771230274.0,2.5,2.537784,4495000000.0,4495000000.0,4495000000.0,4495000000.0,4471000000.0,497000000.0,4968000000.0,111000000.0,103000000.0,-500000000.0,546000000.0,5357000000.0,14248000000.0,19605000000.0,15003000000.0,34608000000.0,34608000000.0,5724000000.0,-1333000000.0,1281000000.0,-2177000000.0,6838000000.0,3860000000.0,2907000000.0,-2779000000.0,-2779000000.0,-50000000.0,-52000000.0,-1333000000.0,1281000000.0,-2215000000.0,-2215000000.0,-73000000.0,7901000000.0,7901000000.0,-892000000.0,-924000000.0,-924000000.0,3327000000.0,3327000000.0,4495000000.0,ABT,Health
14,2021,1764082193.0,1985273421.0,19006000000.0,-168000000.0,53852000000.0,11134000000.0,-168000000.0,35802000000.0,53098000000.0,36024000000.0,35802000000.0,-8374000000.0,-8374000000.0,31528000000.0,24470000000.0,24470000000.0,39172000000.0,26067000000.0,3685000000.0,18252000000.0,17296000000.0,13105000000.0,12351000000.0,5909000000.0,4408000000.0,75196000000.0,50957000000.0,5212000000.0,35970000000.0,23231000000.0,8959000000.0,24239000000.0,8833000000.0,6487000000.0,10249000000.0,9799000000.0,-139000.0,0.139,12283000000.0,7071000000.0,3538000000.0,17046000000.0,12282000000.0,8744000000.0,-490000000.0,533000000.0,7071861000.0,7071000000.0,34650000000.0,8425000000.0,1789000000.0,1764082193.0,3.94,4.008317,7071000000.0,7071000000.0,7071000000.0,7071000000.0,7071000000.0,1140000000.0,8211000000.0,276000000.0,277000000.0,-490000000.0,533000000.0,8425000000.0,16113000000.0,24538000000.0,18537000000.0,43075000000.0,43075000000.0,8648000000.0,-48000000.0,4000000.0,-1885000000.0,9799000000.0,6838000000.0,3031000000.0,-5494000000.0,-5494000000.0,-248000000.0,-44000000.0,-48000000.0,4000000.0,-2008000000.0,-2008000000.0,-96000000.0,10533000000.0,10533000000.0,-771000000.0,-383000000.0,-383000000.0,3538000000.0,3538000000.0,7071000000.0,ABT,Health
13,2022,1737795021.0,1986519278.0,17716000000.0,3433000000.0,53459000000.0,9735000000.0,3433000000.0,36686000000.0,51208000000.0,36905000000.0,36686000000.0,-8051000000.0,-8051000000.0,35257000000.0,24709000000.0,24709000000.0,37533000000.0,22044000000.0,3804000000.0,15465000000.0,14522000000.0,15489000000.0,13238000000.0,6475000000.0,4607000000.0,74438000000.0,49214000000.0,6033000000.0,33253000000.0,22799000000.0,9162000000.0,25224000000.0,8881000000.0,6218000000.0,10170000000.0,9882000000.0,-330000.0,0.165,12133000000.0,6933000000.0,3267000000.0,17888000000.0,12131000000.0,8864000000.0,-375000000.0,558000000.0,6934670000.0,6933000000.0,35291000000.0,8362000000.0,1764000000.0,1737795021.0,3.91,3.989538,6933000000.0,6933000000.0,6933000000.0,6933000000.0,6933000000.0,1373000000.0,8306000000.0,319000000.0,321000000.0,-375000000.0,558000000.0,8362000000.0,16149000000.0,24511000000.0,19142000000.0,43653000000.0,43653000000.0,7804000000.0,-753000000.0,7000000.0,-1777000000.0,9882000000.0,9799000000.0,205000000.0,-7636000000.0,-7636000000.0,-699000000.0,-746000000.0,-753000000.0,7000000.0,-1740000000.0,-1740000000.0,-33000000.0,9581000000.0,9581000000.0,-1519000000.0,-68000000.0,-68000000.0,3267000000.0,3267000000.0,6933000000.0,ABT,Health
12,2023,1734076358.0,1987883852.0,15628000000.0,6109000000.0,53282000000.0,8829000000.0,6109000000.0,38603000000.0,52202000000.0,38827000000.0,38603000000.0,-7839000000.0,-7839000000.0,37554000000.0,24869000000.0,24869000000.0,34387000000.0,20546000000.0,3466000000.0,14548000000.0,13599000000.0,13841000000.0,12761000000.0,6392000000.0,4295000000.0,73214000000.0,50544000000.0,7097000000.0,32494000000.0,23679000000.0,10154000000.0,22670000000.0,8821000000.0,6565000000.0,7279000000.0,6896000000.0,-5781000.0,0.141,10585000000.0,5723000000.0,3243000000.0,16698000000.0,10544000000.0,7301000000.0,-252000000.0,637000000.0,5758219000.0,5723000000.0,33631000000.0,6478000000.0,1749000000.0,1734076358.0,3.26,3.300316,5723000000.0,5723000000.0,5723000000.0,5723000000.0,5723000000.0,941000000.0,6664000000.0,438000000.0,479000000.0,-252000000.0,637000000.0,6478000000.0,15656000000.0,22134000000.0,17975000000.0,40109000000.0,40109000000.0,5059000000.0,-2498000000.0,2000000.0,-2202000000.0,6896000000.0,9882000000.0,-2963000000.0,-7091000000.0,-7091000000.0,-2475000000.0,-2496000000.0,-2498000000.0,2000000.0,-3133000000.0,-3133000000.0,-116000000.0,7261000000.0,7261000000.0,-2475000000.0,-356000000.0,-356000000.0,3243000000.0,3243000000.0,5723000000.0,ABT,Health
3,2024,1734455938.0,1991051414.0,14979000000.0,8786000000.0,54775000000.0,8900000000.0,8786000000.0,39796000000.0,52621000000.0,40028000000.0,39796000000.0,-7804000000.0,-7804000000.0,39056000000.0,25020000000.0,25020000000.0,34328000000.0,19426000000.0,6601000000.0,12825000000.0,12825000000.0,14902000000.0,12748000000.0,5703000000.0,4034000000.0,74356000000.0,50554000000.0,8011000000.0,31010000000.0,23658000000.0,10621000000.0,23802000000.0,9201000000.0,7051000000.0,7788000000.0,7558000000.0,1667010.309278,0.151546,2872000000.0,1646000000.0,801000000.0,4367000000.0,2883000000.0,2082000000.0,-51000000.0,142000000.0,1636667010.309278,1646000000.0,8776000000.0,1859000000.0,1748000000.0,1734455938.0,0.94,0.949001,1646000000.0,1646000000.0,1646000000.0,1646000000.0,1646000000.0,294000000.0,1940000000.0,132000000.0,121000000.0,-51000000.0,142000000.0,1859000000.0,4078000000.0,5937000000.0,4698000000.0,10635000000.0,10635000000.0,2149000000.0,-2000000.0,1000000.0,-556000000.0,7558000000.0,6987000000.0,535000000.0,-1576000000.0,-1576000000.0,43000000.0,-1000000.0,-2000000.0,1000000.0,-594000000.0,-594000000.0,-40000000.0,2705000000.0,2705000000.0,163000000.0,-57000000.0,-57000000.0,801000000.0,801000000.0,1646000000.0,ABT,Health
23,2020,578300000.0,578300000.0,32986000000.0,-21867000000.0,42395000000.0,9491000000.0,-21867000000.0,9409000000.0,42304000000.0,9409000000.0,9409000000.0,-985000000.0,-985000000.0,-21408000000.0,31802000000.0,31802000000.0,53539000000.0,41886000000.0,2023000000.0,32895000000.0,32895000000.0,11653000000.0,9990000000.0,3267000000.0,1421000000.0,62948000000.0,41804000000.0,5639000000.0,31276000000.0,14689000000.0,4889000000.0,21144000000.0,4525000000.0,4525000000.0,10647000000.0,6266000000.0,0.0,0.107,12996000000.0,7264000000.0,3601000000.0,6159000000.0,12996000000.0,9395000000.0,-1262000000.0,1262000000.0,7264000000.0,7264000000.0,16285000000.0,9139000000.0,590000000.0,586000000.0,12.31,12.4,7264000000.0,7264000000.0,7264000000.0,7264000000.0,7264000000.0,869000000.0,8133000000.0,256000000.0,256000000.0,-1262000000.0,1262000000.0,9139000000.0,10126000000.0,19265000000.0,6159000000.0,25424000000.0,24240000000.0,9889000000.0,-6450000000.0,8914000000.0,-608000000.0,6266000000.0,6037000000.0,229000000.0,-4867000000.0,-4867000000.0,2464000000.0,2464000000.0,-6450000000.0,8914000000.0,-5401000000.0,-5401000000.0,-1499000000.0,10497000000.0,10497000000.0,-216000000.0,-427000000.0,-427000000.0,3601000000.0,3601000000.0,7264000000.0,AMGN,Health
22,2021,558300000.0,558300000.0,33309000000.0,-23372000000.0,40009000000.0,7201000000.0,-23372000000.0,6700000000.0,39922000000.0,6700000000.0,6700000000.0,-796000000.0,48000000.0,-24600000000.0,32096000000.0,32096000000.0,54465000000.0,42281000000.0,2465000000.0,33222000000.0,33222000000.0,12184000000.0,10474000000.0,3150000000.0,1366000000.0,61165000000.0,41780000000.0,6524000000.0,30072000000.0,14890000000.0,5184000000.0,19385000000.0,5839000000.0,4895000000.0,8037000000.0,7989000000.0,-182105000.0,0.121,12801000000.0,5893000000.0,3398000000.0,6454000000.0,11296000000.0,7898000000.0,-1197000000.0,1197000000.0,7215895000.0,5893000000.0,16835000000.0,7639000000.0,573000000.0,570000000.0,10.28,10.34,5893000000.0,5893000000.0,5893000000.0,5893000000.0,5893000000.0,808000000.0,6701000000.0,-1246000000.0,259000000.0,-1197000000.0,1197000000.0,9144000000.0,10381000000.0,19525000000.0,6454000000.0,25979000000.0,24297000000.0,8381000000.0,-4150000000.0,4945000000.0,-880000000.0,7989000000.0,6266000000.0,1723000000.0,-8271000000.0,-8271000000.0,795000000.0,795000000.0,-4150000000.0,4945000000.0,733000000.0,733000000.0,4334000000.0,9261000000.0,9261000000.0,-1194000000.0,-429000000.0,-429000000.0,3398000000.0,3398000000.0,5893000000.0,AMGN,Health
21,2022,534000000.0,534000000.0,38945000000.0,-27948000000.0,42606000000.0,6499000000.0,-27948000000.0,3661000000.0,41015000000.0,3661000000.0,3661000000.0,-231000000.0,117000000.0,-28622000000.0,32514000000.0,32514000000.0,61460000000.0,45773000000.0,2651000000.0,37354000000.0,37354000000.0,15687000000.0,12997000000.0,3904000000.0,1572000000.0,65121000000.0,42935000000.0,5899000000.0,31609000000.0,15529000000.0,5427000000.0,22186000000.0,6392000000.0,5563000000.0,9305000000.0,7629000000.0,0.0,0.108,12169000000.0,6552000000.0,3417000000.0,6406000000.0,12169000000.0,8752000000.0,-1406000000.0,1406000000.0,6552000000.0,6552000000.0,16757000000.0,9566000000.0,541000000.0,538000000.0,12.11,12.18,6552000000.0,6552000000.0,6552000000.0,6552000000.0,6552000000.0,794000000.0,7346000000.0,-814000000.0,-814000000.0,-1406000000.0,1406000000.0,9566000000.0,10351000000.0,19917000000.0,6406000000.0,26323000000.0,24801000000.0,8785000000.0,0.0,6919000000.0,-936000000.0,7629000000.0,7989000000.0,-360000000.0,-4037000000.0,-4037000000.0,6919000000.0,6919000000.0,0.0,6919000000.0,-6044000000.0,-6044000000.0,-1369000000.0,9721000000.0,9721000000.0,-733000000.0,-746000000.0,-746000000.0,3417000000.0,3417000000.0,6552000000.0,AMGN,Health
20,2023,535400000.0,535400000.0,64613000000.0,-45038000000.0,70845000000.0,11940000000.0,-45038000000.0,6232000000.0,69402000000.0,6232000000.0,6232000000.0,-289000000.0,9000000.0,-26549000000.0,33070000000.0,33070000000.0,90922000000.0,72530000000.0,2326000000.0,63170000000.0,63170000000.0,18392000000.0,15568000000.0,4459000000.0,1590000000.0,97154000000.0,66822000000.0,9611000000.0,51270000000.0,18629000000.0,5941000000.0,30332000000.0,7942000000.0,7268000000.0,10944000000.0,10944000000.0,0.0,0.145,14801000000.0,6717000000.0,4071000000.0,8451000000.0,14801000000.0,10730000000.0,-2875000000.0,2875000000.0,6717000000.0,6717000000.0,20293000000.0,7897000000.0,538000000.0,535000000.0,12.49,12.56,6717000000.0,6717000000.0,6717000000.0,6717000000.0,6717000000.0,1138000000.0,7855000000.0,2833000000.0,2833000000.0,-2875000000.0,2875000000.0,7897000000.0,11842000000.0,19739000000.0,8451000000.0,28190000000.0,26910000000.0,7359000000.0,-1454000000.0,27777000000.0,-1112000000.0,10944000000.0,7629000000.0,3315000000.0,21048000000.0,21048000000.0,26323000000.0,26323000000.0,-1454000000.0,27777000000.0,-26204000000.0,-26204000000.0,1672000000.0,8471000000.0,8471000000.0,-484000000.0,-1015000000.0,-1015000000.0,4071000000.0,4071000000.0,6717000000.0,AMGN,Health
5,2024,537500000.0,537500000.0,60398000000.0,-40051000000.0,67925000000.0,6454000000.0,-40051000000.0,7527000000.0,64381000000.0,7527000000.0,7527000000.0,-336000000.0,-336000000.0,-25530000000.0,33393000000.0,33393000000.0,83356000000.0,63044000000.0,2199000000.0,56854000000.0,56854000000.0,20312000000.0,16768000000.0,2147000000.0,2147000000.0,90883000000.0,64117000000.0,10383000000.0,47578000000.0,18658000000.0,6156000000.0,26766000000.0,7317000000.0,7317000000.0,9011000000.0,9011000000.0,0.0,0.087,5273000000.0,2830000000.0,1396000000.0,3310000000.0,5273000000.0,3877000000.0,-776000000.0,776000000.0,2830000000.0,2830000000.0,6456000000.0,2047000000.0,542000000.0,537000000.0,5.22,5.27,2830000000.0,2830000000.0,2830000000.0,2830000000.0,2830000000.0,271000000.0,3101000000.0,1830000000.0,1830000000.0,-776000000.0,776000000.0,2047000000.0,3146000000.0,5193000000.0,3310000000.0,8503000000.0,8151000000.0,3314000000.0,-2200000000.0,0.0,-257000000.0,9011000000.0,9301000000.0,-290000000.0,-3651000000.0,-3651000000.0,-2200000000.0,-2200000000.0,-2200000000.0,0.0,-210000000.0,-210000000.0,0.0,3571000000.0,3571000000.0,856000000.0,-342000000.0,-342000000.0,1396000000.0,1396000000.0,2830000000.0,AMGN,Health
