cause,effect
INCOME_STATEMENT_operatingIncome,Close
M1SL,Close
INCOME_STATEMENT_costOfRevenue,INCOME_STATEMENT_grossProfit
INCOME_STATEMENT_operatingExpenses,INCOME_STATEMENT_grossProfit
M1SL,INCOME_STATEMENT_grossProfit
RTWEXBGS,INCOME_STATEMENT_grossProfit
INCOME_STATEMENT_incomeBeforeTax,INCOME_STATEMENT_costOfRevenue
INCOME_STATEMENT_investmentIncomeNet,INCOME_STATEMENT_operatingIncome
CASH_FLOW_cashflowFromInvestment,INCOME_STATEMENT_operatingIncome
CASH_FLOW_changeInOperatingAssets,INCOME_STATEMENT_researchAndDevelopment
FEDFUNDS,INCOME_STATEMENT_researchAndDevelopment
INCOME_STATEMENT_costOfRevenue,INCOME_STATEMENT_operatingExpenses
INCOME_STATEMENT_sellingGeneralAndAdministrative,INCOME_STATEMENT_operatingExpenses
CASH_FLOW_changeInOperatingLiabilities,INCOME_STATEMENT_operatingExpenses
BALANCE_SHEET_goodwill,INCOME_STATEMENT_interestExpense
BALANCE_SHEET_currentDebt,INCOME_STATEMENT_interestExpense
BALANCE_SHEET_commonStock,INCOME_STATEMENT_interestExpense
INCOME_STATEMENT_operatingIncome,INCOME_STATEMENT_incomeBeforeTax
INCOME_STATEMENT_incomeTaxExpense,INCOME_STATEMENT_incomeBeforeTax
CASH_FLOW_operatingCashflow,INCOME_STATEMENT_incomeBeforeTax
INCOME_STATEMENT_totalRevenue,BALANCE_SHEET_totalAssets
BALANCE_SHEET_commonStock,BALANCE_SHEET_inventory
PPIACO,BALANCE_SHEET_inventory
RTWEXBGS,BALANCE_SHEET_inventory
INCOME_STATEMENT_sellingGeneralAndAdministrative,BALANCE_SHEET_intangibleAssets
BALANCE_SHEET_goodwill,BALANCE_SHEET_intangibleAssets
BALANCE_SHEET_commonStock,BALANCE_SHEET_intangibleAssets
BALANCE_SHEET_cashAndShortTermInvestments,BALANCE_SHEET_shortTermInvestments
BALANCE_SHEET_investments,BALANCE_SHEET_shortTermInvestments
BALANCE_SHEET_currentLongTermDebt,BALANCE_SHEET_shortTermInvestments
BALANCE_SHEET_totalAssets,BALANCE_SHEET_currentDebt
CASH_FLOW_capitalExpenditures,BALANCE_SHEET_currentDebt
CASH_FLOW_proceedsFromRepaymentsOfShortTermDebt,BALANCE_SHEET_currentDebt
CASH_FLOW_proceedsFromRepaymentsOfShortTermDebt,BALANCE_SHEET_currentLongTermDebt
FEDFUNDS,BALANCE_SHEET_currentLongTermDebt
BALANCE_SHEET_totalAssets,BALANCE_SHEET_otherNonCurrentLiabilities
INCOME_STATEMENT_costOfRevenue,CASH_FLOW_changeInOperatingAssets
CASH_FLOW_changeInOperatingLiabilities,CASH_FLOW_changeInOperatingAssets
CASH_FLOW_changeInInventory,CASH_FLOW_changeInOperatingAssets
CASH_FLOW_proceedsFromRepaymentsOfShortTermDebt,CASH_FLOW_cashflowFromFinancing
CASH_FLOW_proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,CASH_FLOW_cashflowFromFinancing
INCOME_STATEMENT_incomeTaxExpense,CASH_FLOW_proceedsFromRepaymentsOfShortTermDebt
CASH_FLOW_changeInOperatingLiabilities,CASH_FLOW_proceedsFromRepaymentsOfShortTermDebt
INCOME_STATEMENT_otherNonOperatingIncome,CASH_FLOW_paymentsForRepurchaseOfCommonStock
CASH_FLOW_changeInInventory,CASH_FLOW_paymentsForRepurchaseOfCommonStock
CASH_FLOW_proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,CASH_FLOW_paymentsForRepurchaseOfCommonStock
M2SL,PPIACO
M1SL,PPIACO
UNRATE,PPIACO
INCOME_STATEMENT_depreciationAndAmortization,RTWEXBGS
